"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"55","Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,028","16.2","33%","48 : 52"
"=56","University of ManchesterUnited KingdomCoursesEnquireExplore","34,938","15.3","34%","52 : 48"
"=56","University of SydneyAustraliaCourses","41,868","20.2","28%","57 : 43"
"58","University of AmsterdamNetherlandsCoursesExplore","24,570","14.4","11%","53 : 47"
"59","The Hong Kong University of Science and TechnologyHong KongCoursesExplore","11,385","23.8","36%","n/a"
"=60","The University of QueenslandAustraliaCoursesExplore","34,718","32.7","27%","53 : 47"
"=60","Washington University in St LouisUnited StatesCoursesExplore","12,528","5.7","17%","0 : 100"
"62","Utrecht UniversityNetherlandsCoursesExplore","30,779","15.4","7%","59 : 41"
"63","University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support","26,518","7.3","8%","58 : 42"
"64","Boston UniversityUnited StatesCoursesEnquireAdmissions Support","24,789","8.6","17%","58 : 42"
"=65","Delft University of TechnologyNetherlandsCoursesVerify Documents","15,920","19.4","25%","26 : 74"
"=65","University of MinnesotaUnited StatesCoursesEnquire","46,825","18.0","12%","52 : 48"
"67","Leiden UniversityNetherlandsCoursesExplore","21,222","17.1","9%","59 : 41"
"68","University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support","36,534","12.9","20%","52 : 48"
"69","University of BristolUnited KingdomCoursesAdmissions Support","17,906","14.0","25%","53 : 47"
"70","Durham UniversityUnited KingdomCoursesEnquireAdmissions Support","15,489","15.7","24%","54 : 46"
"71","Erasmus University RotterdamNetherlandsCoursesExplore","20,580","18.9","17%","48 : 52"
"72","Free University of BerlinGermanyCoursesVerify Documents","33,062","39.3","20%","58 : 42"
"73","Monash UniversityAustraliaCoursesEnquire","50,882","40.5","36%","56 : 44"
"74","University of GroningenNetherlandsCoursesExplore","24,556","25.6","11%","52 : 48"
"75","Penn State (Main campus)United StatesCoursesEnquire","44,501","12.4","12%","46 : 54"
"=76","University of GlasgowUnited KingdomCoursesExplore","22,616","16.0","29%","57 : 43"
"=76","University of HelsinkiFinlandCourses","23,505","15.1","6%","66 : 34"
"78","University of TübingenGermanyCoursesVerify Documents","28,327","38.9","12%","58 : 42"
"79","University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support","26,485","5.8","10%","51 : 49"
"80","University of WarwickUnited KingdomCoursesEnquireAdmissions Support","18,529","16.6","37%","48 : 52"
"81","Uppsala UniversitySwedenCoursesVerify Documents","25,266","18.2","12%","57 : 43"
"=82","University of CopenhagenDenmarkCourses","27,545","4.1","19%","67 : 33"
"=82","UNSW SydneyAustraliaCoursesExplore","38,309","25.9","32%","47 : 53"
"84","University of FreiburgGermanyCourses","26,467","31.2","16%","52 : 48"
"85","Seoul National UniversitySouth KoreaCourses","26,389","13.9","10%","n/a"
"86","University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support","8,338","12.7","47%","56 : 44"
"87","Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support","12,161","3.6","9%","52 : 48"
"=88","Kyoto UniversityJapanCourses","22,809","5.6","7%","n/a"
"=88","Maastricht UniversityNetherlandsCoursesExplore","15,626","18.9","48%","56 : 44"
"=90","Emory UniversityUnited StatesCoursesEnquireAdmissions Support","12,338","4.5","18%","56 : 44"
"=90","Lund UniversitySwedenCoursesVerify Documents","28,251","11.5","15%","n/a"
"=90","Ohio State University (Main campus)United StatesCoursesEnquire","51,462","13.4","12%","49 : 51"
"93","University of ExeterUnited KingdomCoursesExplore","17,755","18.8","28%","54 : 46"
"=94","University of BonnGermanyCoursesVerify Documents","32,474","70.4","12%","55 : 45"
"=94","Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support","15,408","8.5","14%","53 : 47"
"=94","McMaster UniversityCanadaCoursesExplore","23,823","19.3","15%","53 : 47"
"97","University of SheffieldUnited KingdomCoursesEnquire","23,311","15.5","31%","50 : 50"
"98","Queen Mary University of LondonUnited KingdomCourses","14,260","14.0","40%","52 : 48"
"=99","University of GöttingenGermanyCoursesVerify Documents","25,581","25.6","12%","51 : 49"
"=99","Michigan State UniversityUnited StatesCoursesEnquire","44,750","15.7","15%","51 : 49"
"=101","University of BaselSwitzerlandCourses","12,551","17.3","24%","54 : 46"
"=101","École PolytechniqueFranceCoursesExplore","2,429","4.8","30%","18 : 82"
"=101","Rice UniversityUnited StatesCoursesEnquireAdmissions Support","6,333","9.0","26%","44 : 56"
"=101","Trinity College DublinIrelandCoursesExplore","15,520","22.3","25%","57 : 43"
"=104","Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support","6,178","6.6","16%","47 : 53"
"=104","University of ZurichSwitzerlandCourses","26,583","6.5","19%","57 : 43"
"=106","University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","26,614","16.1","16%","52 : 48"
"=106","Aarhus UniversityDenmarkCourses","23,895","13.6","14%","54 : 46"
"=106","University of MannheimGermanyCoursesVerify Documents","11,761","85.8","15%","55 : 45"
"108","University of Notre DameUnited StatesCoursesEnquireAdmissions Support","11,829","13.8","10%","44 : 56"
"109","The University of Western AustraliaAustraliaCoursesEnquire","20,851","20.7","27%","50 : 50"
"=110","RWTH Aachen UniversityGermanyCourses","37,917","27.6","16%","31 : 69"
"=110","University of SouthamptonUnited KingdomCoursesEnquire","20,925","13.5","29%","53 : 47"
"112","Scuola Normale Superiore di PisaItalyCourses","462","16.5","5%","28 : 72"
"=113","University of MontrealCanadaCoursesExplore","38,264","20.3","25%","57 : 43"
"=113","Pierre and Marie Curie UniversityFranceCourses","27,862","8.7","18%","48 : 52"
"=113","Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support","39,256","18.1","22%","42 : 58"
"116","Pohang University of Science and Technology (POSTECH)South KoreaCourses","3,055","10.1","4%","20 : 80"
"117","University of Maryland, College ParkUnited StatesCoursesEnquire","31,331","8.4","9%","48 : 52"
"118","Ghent UniversityBelgiumCoursesVerify Documents","32,166","34.1","9%","57 : 43"
"119","University of BirminghamUnited KingdomCoursesEnquire","25,295","16.4","23%","54 : 46"
"=120","University of BernSwitzerlandCourses","14,708","22.5","14%","54 : 46"
"=120","University of Cape TownSouth AfricaCoursesExplore","20,040","12.1","18%","53 : 47"
"=120","University of FloridaUnited StatesCoursesEnquireAdmissions Support","50,095","18.7","9%","54 : 46"
"=123","University of Erlangen-NurembergGermanyCourses","36,146","53.9","9%","49 : 51"
"=123","Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","37,032","17.3","8%","51 : 49"
"=125","University of MünsterGermanyCoursesVerify Documents","39,838","46.1","8%","53 : 47"
"=125","Radboud University NijmegenNetherlandsCoursesExplore","17,713","13.0","10%","58 : 42"
"=127","University of Colorado BoulderUnited StatesCoursesEnquire","29,325","16.1","8%","45 : 55"
"=127","Tufts UniversityUnited StatesCoursesEnquireAdmissions Support","10,410","10.0","14%","54 : 46"
"129","Royal Holloway, University of LondonUnited KingdomCoursesEnquire","8,747","15.9","37%","57 : 43"
"130","Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support","11,512","14.9","33%","52 : 48"
"=131","University of GenevaSwitzerlandCourses","15,668","15.0","39%","61 : 39"
"=131","University of YorkUnited KingdomCoursesEnquire","14,543","15.8","26%","55 : 45"
"=133","Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support","9,259","6.4","17%","48 : 52"
"=133","University of LeedsUnited KingdomCoursesEnquire","27,703","14.7","21%","58 : 42"
"135","University of OsloNorwayCoursesVerify Documents","27,139","18.8","18%","n/a"
"136","Stockholm UniversitySwedenCourses","31,715","23.7","8%","62 : 38"
"137","University of AlbertaCanadaCoursesEnquire","36,299","21.6","23%","55 : 45"
"=138","Chinese University of Hong KongHong KongCoursesExplore","17,916","10.2","22%","53 : 47"
"=138","Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents","25,294","24.6","16%","26 : 74"
"140","University of SussexUnited KingdomCoursesEnquire","12,001","17.4","35%","54 : 46"
"141","University of MassachusettsUnited StatesCoursesEnquire","56,959","13.0","11%","49 : 51"
"142","University of ViennaAustriaCourses","34,651","20.5","25%","67 : 33"
"143","University of NottinghamUnited KingdomCoursesEnquire","30,144","15.0","27%","54 : 46"
"=144","University of California, Santa CruzUnited StatesCoursesEnquire","17,404","22.7","1%","53 : 47"
"=144","University of LausanneSwitzerlandCourses","11,964","13.1","22%","n/a"
"146","Autonomous University of BarcelonaSpainCoursesExplore","30,538","12.3","10%","59 : 41"
"147","University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support","23,845","10.2","12%","52 : 48"
"148","Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses","9,027","10.0","9%","20 : 80"
"=149","University of AdelaideAustraliaCoursesExplore","20,771","30.1","26%","48 : 52"
"=149","University of East AngliaUnited KingdomCoursesExplore","14,992","14.7","28%","58 : 42"
"=149","University of TwenteNetherlandsCoursesVerify Documents","6,631","12.0","26%","37 : 63"
"153","Sungkyunkwan University (SKKU)South KoreaCoursesExplore","24,365","20.3","9%","39 : 61"
"154","Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents","23,280","16.3","6%","56 : 44"
"155","KTH Royal Institute of TechnologySwedenCoursesVerify Documents","12,062","14.6","21%","30 : 70"
"156","University of CologneGermanyCoursesVerify Documents","43,280","43.4","11%","60 : 40"
"157","University of LiverpoolUnited KingdomCoursesEnquire","18,815","13.6","30%","52 : 48"
"=158","TU DresdenGermanyCoursesVerify Documents","35,487","37.4","12%","42 : 58"
"=158","University of RochesterUnited StatesCoursesEnquireAdmissions Support","9,390","4.5","26%","49 : 51"
"=161","Lomonosov Moscow State UniversityRussian FederationCourses","30,822","7.7","20%","43 : 57"
"=161","University of MiamiUnited StatesCoursesEnquireAdmissions Support","15,286","5.7","14%","50 : 50"
"163","University of ArizonaUnited StatesCoursesEnquire","36,429","12.7","8%","52 : 48"
"=164","Pompeu Fabra UniversitySpainCoursesVerify Documents","10,901","18.3","13%","59 : 41"
"=164","University of ReadingUnited KingdomCoursesEnquire","12,050","14.8","28%","55 : 45"
"=164","Yeshiva UniversityUnited StatesCoursesEnquire","6,753","5.5","7%","53 : 47"
"=167","University of California, RiversideUnited StatesCoursesEnquire","20,626","22.0","12%","51 : 49"
"=167","University of LeicesterUnited KingdomCoursesEnquire","14,541","13.4","35%","54 : 46"
"=167","National Taiwan University (NTU)TaiwanCoursesExplore","31,891","11.9","7%","39 : 61"
"=167","Technical University of DenmarkDenmarkCoursesVerify Documents","9,990","5.0","18%","27 : 73"
"=167","Université Catholique de LouvainBelgiumCoursesVerify Documents","28,856","42.0","19%","54 : 46"
"=172","University of AberdeenUnited KingdomCoursesEnquire","12,938","15.8","33%","54 : 46"
"=172","University of AucklandNew ZealandCoursesExplore","29,787","18.9","28%","54 : 46"
"174","University of BarcelonaSpainCoursesExplore","47,491","12.2","10%","62 : 38"
"175","University of KonstanzGermanyCourses","10,930","59.1","12%","54 : 46"
"=176","Eindhoven University of TechnologyNetherlandsCoursesExplore","8,176","16.0","14%","19 : 81"
"=176","University College DublinIrelandCourses","22,193","24.5","23%","n/a"
"178","Hebrew University of JerusalemIsraelCourses","17,612","10.7","5%","55 : 45"
"179","University of WaterlooCanadaCoursesExplore","30,726","24.2","14%","45 : 55"
"=180","University of GothenburgSwedenCoursesVerify Documents","26,420","16.4","12%","n/a"
"=180","Sant’Anna School of Advanced Studies – PisaItalyCourses","769","8.5","17%","35 : 65"
"=182","University of BergenNorwayCourses","11,623","11.1","12%","60 : 40"
"=182","Cardiff UniversityUnited KingdomCoursesEnquire","23,347","13.1","23%","57 : 43"
"=182","University of UtahUnited StatesCoursesEnquire","25,674","16.9","9%","45 : 55"
"=185","Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support","5,495","12.6","22%","55 : 45"
"=185","University of DundeeUnited KingdomCoursesEnquire","11,628","15.3","25%","60 : 40"
"=185","University of WürzburgGermanyCourses","26,576","38.4","8%","57 : 43"
"188","Paris-Sud UniversityFranceCourses","27,603","15.0","17%","n/a"
"189","Arizona State University (Tempe)United StatesCoursesExplore","83,236","29.9","9%","50 : 50"
"=190","University of AntwerpBelgiumCoursesVerify Documents","12,346","30.3","16%","56 : 44"
"=190","Boston CollegeUnited StatesCoursesEnquireAdmissions Support","13,216","17.4","19%","54 : 46"
"192","Ulm UniversityGermanyCoursesVerify Documents","9,187","11.2","10%","47 : 53"
"=193","University of LuxembourgLuxembourgCourses","5,144","15.9","52%","50 : 50"
"=193","Texas A&M UniversityUnited StatesCoursesExplore","50,657","21.4","9%","47 : 53"
"195","Charité - Universitätsmedizin BerlinGermanyCourses","6,853","6.6","16%","64 : 36"
"=196","Newcastle UniversityUnited KingdomCoursesEnquireExplore","20,174","15.2","29%","50 : 50"
"=196","St George’s, University of LondonUnited KingdomCoursesEnquire","2,958","13.4","17%","61 : 39"
"198","University of TrentoItalyCourses","16,841","43.2","8%","51 : 49"
"199","Paris Diderot University – Paris 7FranceCourses","27,756","14.8","17%","63 : 37"
"200","Queen’s University BelfastUnited KingdomCoursesExplore","17,940","17.9","30%","54 : 46"
"201-250","Aalborg UniversityDenmarkCoursesExplore","17,422","15.9","15%","48 : 52"
"201-250","Birkbeck, University of LondonUnited KingdomCoursesEnquire","9,454","17.2","38%","55 : 45"
"201-250","University of BolognaItalyCoursesExplore","85,532","22.9","7%","56 : 44"
"201-250","University at BuffaloUnited StatesCoursesEnquire","25,668","19.0","19%","47 : 53"
"201-250","University of CalgaryCanadaCoursesEnquire","28,341","16.5","17%","53 : 47"
"201-250","Chalmers University of TechnologySwedenCoursesVerify Documents","8,605","11.6","15%","30 : 70"
"201-250","City University of Hong KongHong KongCoursesExplore","10,015","7.1","28%","51 : 49"
"201-250","Copenhagen Business SchoolDenmarkCoursesVerify Documents","18,293","42.7","19%","48 : 52"
"201-250","Dalhousie UniversityCanadaCoursesEnquire","15,064","14.4","18%","55 : 45"
"201-250","University of São PauloBrazilCourses","81,402","14.6","4%","48 : 52"
"201-250","University of Duisburg-EssenGermanyCoursesExplore","36,051","46.6","11%","49 : 51"
"201-250","École Normale Supérieure de LyonFranceCourses","2,218","8.0","14%","49 : 51"
"201-250","Florida State UniversityUnited StatesCoursesEnquire","41,226","31.8","7%","55 : 45"
"201-250","University of FribourgSwitzerlandCourses","10,416","46.9","19%","58 : 42"
"201-250","Fudan UniversityChinaCourses","32,175","12.2","11%","50 : 50"
"201-250","University of IcelandIcelandCourses","13,960","25.9","8%","66 : 34"
"201-250","George Washington UniversityUnited StatesCoursesEnquire","20,541","12.0","16%","56 : 44"
"201-250","Goethe University FrankfurtGermanyCourses","31,861","9.3","15%","60 : 40"
"201-250","University of Hawai’i at MānoaUnited StatesCoursesEnquire","16,773","11.1","13%","55 : 45"
"201-250","Hong Kong Polytechnic UniversityHong KongCoursesExplore","22,064","25.9","26%","51 : 49"
"201-250","University of Illinois at ChicagoUnited StatesCoursesEnquire","24,313","9.2","17%","53 : 47"
"201-250","Indiana UniversityUnited StatesCoursesEnquire","62,468","13.6","13%","53 : 47"
"201-250","University of IowaUnited StatesCoursesEnquire","27,526","11.6","11%","52 : 48"
"201-250","University of Technology SydneyAustraliaCoursesExplore","24,519","44.1","31%","53 : 47"
"201-250","Johannes Gutenberg University of MainzGermanyCourses","35,609","32.6","10%","58 : 42"
"201-250","Joseph Fourier UniversityFranceCourses","16,130","12.1","13%","n/a"
"201-250","University of KielGermanyCoursesVerify Documents","24,444","23.8","8%","53 : 47"
"201-250","Université LavalCanadaCoursesExplore","27,227","16.2","12%","n/a"
"201-250","Medical University of ViennaAustriaCourses","7,426","2.9","28%","50 : 50"
"201-250","Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support","18,539","15.1","26%","50 : 50"
"201-250","Oregon Health and Science UniversityUnited StatesCoursesEnquire","2,838","1.1","3%","65 : 35"
"201-250","University of OtagoNew ZealandCourses","18,600","20.3","21%","57 : 43"
"201-250","University of OttawaCanadaCoursesEnquireExplore","36,733","26.3","15%","60 : 40"
"201-250","Paris Descartes UniversityFranceCourses","34,691","26.9","15%","63 : 37"
"201-250","Peter the Great St Petersburg Polytechnic UniversityRussian FederationCoursesExplore","17,155","7.2","8%","40 : 60"
"201-250","Politecnico di MilanoItalyCoursesExplore","30,025","22.2","12%","34 : 66"
"201-250","Royal Veterinary CollegeUnited KingdomCoursesEnquire","1,819","10.9","17%","77 : 23"
"201-250","Rush UniversityUnited StatesCoursesEnquire","1,855","2.1","5%","71 : 29"
"201-250","Sapienza University of RomeItalyCourses","120,986","32.3","7%","59 : 41"
"201-250","University of Science and Technology of ChinaChinaCoursesExplore","14,290","7.9","2%","n/a"
"201-250","University of South Florida (Tampa)United StatesCoursesEnquire","31,424","21.5","10%","n/a"
"201-250","Stony Brook UniversityUnited StatesCoursesEnquire","21,908","10.9","24%","50 : 50"
"201-250","University of StuttgartGermanyCoursesVerify Documents","24,099","45.4","20%","31 : 69"
"201-250","Swedish University of Agricultural SciencesSwedenCoursesVerify Documents","3,879","4.6","0%","67 : 33"
"201-250","Technical University of DarmstadtGermanyCourses","20,300","53.6","18%","28 : 72"
"201-250","Tel Aviv UniversityIsraelCourses","23,977","24.4","4%","n/a"
"201-250","University of Texas at DallasUnited StatesCoursesExplore","16,306","22.8","23%","44 : 56"
"201-250","Tilburg UniversityNetherlandsCoursesExplore","7,576","22.4","10%","49 : 51"
"201-250","Tohoku UniversityJapanCourses","17,200","5.0","7%","25 : 75"
"201-250","Tokyo Institute of TechnologyJapanCourses","9,586","7.3","13%","13 : 87"
"201-250","University of VictoriaCanadaCoursesEnquire","17,581","21.5","11%","56 : 44"
"201-250","Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support","7,326","4.6","5%","51 : 49"
"201-250","Western UniversityCanadaCoursesEnquire","27,387","20.7","16%","54 : 46"
"201-250","William & MaryUnited StatesCoursesEnquireAdmissions Support","7,867","11.8","7%","54 : 46"
"201-250","University of the WitwatersrandSouth AfricaCoursesExplore","23,321","18.6","9%","56 : 44"
"251-300","Aalto UniversityFinlandCourses","16,099","24.2","17%","32 : 68"
"251-300","Aix-Marseille UniversityFranceCourses","71,749","45.5","13%","61 : 39"
"251-300","University of BathUnited KingdomCoursesEnquireAdmissions Support","12,830","18.8","30%","46 : 54"
"251-300","University of BayreuthGermanyCoursesVerify Documents","12,520","35.5","8%","46 : 54"
"251-300","Bielefeld UniversityGermanyCourses","21,428","67.8","7%","57 : 43"
"251-300","University of BordeauxFranceCoursesExplore","51,239","19.4","12%","58 : 42"
"251-300","Charles Darwin UniversityAustraliaCoursesEnquire","5,570","25.4","15%","67 : 33"
"251-300","Colorado School of MinesUnited StatesCoursesEnquire","5,287","18.2","12%","26 : 74"
"251-300","Colorado State University, Fort CollinsUnited StatesCoursesEnquire","26,769","19.0","5%","52 : 48"
"251-300","University of DelawareUnited StatesCoursesEnquire","19,262","15.9","10%","56 : 44"
"251-300","Flinders UniversityAustraliaCoursesExplore","15,655","22.6","15%","63 : 37"
"251-300","University of GeorgiaUnited StatesCoursesEnquire","33,119","19.9","7%","57 : 43"
"251-300","Griffith UniversityAustraliaCoursesExplore","30,251","22.0","21%","0 : 100"
"251-300","Indian Institute of ScienceIndiaCourses","3,318","8.2","1%","19 : 81"
"251-300","Iowa State UniversityUnited StatesCoursesEnquire","29,991","17.4","11%","44 : 56"
"251-300","James Cook UniversityAustraliaCoursesEnquire","11,713","21.9","11%","63 : 37"
"251-300","Justus Liebig University GiessenGermanyCourses","25,682","53.9","9%","62 : 38"
"251-300","King Abdulaziz UniversitySaudi ArabiaCoursesExplore","35,889","8.4","21%","57 : 43"
"251-300","Koç UniversityTurkeyCourses","4,488","14.6","8%","52 : 48"
"251-300","Korea UniversitySouth KoreaCoursesExplore","24,043","15.8","14%","n/a"
"251-300","University of LiègeBelgiumCoursesVerify Documents","20,951","25.9","23%","54 : 46"
"251-300","Linköping UniversitySwedenCoursesVerify Documents","17,866","7.7","10%","52 : 48"
"251-300","Nanjing UniversityChinaCourses","29,743","13.3","10%","46 : 54"
"251-300","National Tsing Hua UniversityTaiwanCourses","10,221","13.5","5%","33 : 67"
"251-300","National University of Ireland, GalwayIrelandCourses","14,067","26.8","14%","56 : 44"
"251-300","University of NewcastleAustraliaCoursesEnquire","23,508","21.9","18%","56 : 44"
"251-300","North Carolina State UniversityUnited StatesCoursesEnquire","30,533","13.6","11%","44 : 56"
"251-300","National Research Nuclear University MEPhIRussian FederationCourses","7,801","7.3","7%","29 : 71"
"251-300","Oregon State UniversityUnited StatesCoursesEnquire","22,578","16.8","8%","47 : 53"
"251-300","Osaka UniversityJapanCourses","23,144","7.8","9%","31 : 69"
"251-300","Queen’s UniversityCanadaCoursesEnquireExplore","20,488","22.1","10%","58 : 42"
"251-300","Technion Israel Institute of TechnologyIsraelCourses","13,855","19.4","4%","35 : 65"
"251-300","Queensland University of TechnologyAustraliaCoursesExplore","33,391","35.8","17%","54 : 46"
"251-300","Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support","6,671","15.0","16%","30 : 70"
"251-300","RCSI University of Medicine and Health SciencesIrelandCoursesExplore","2,473","15.6","63%","55 : 45"
"251-300","Ruhr University BochumGermanyCourses","38,675","46.3","13%","48 : 52"
"251-300","Saint Louis UniversityUnited StatesCoursesEnquire","11,919","5.8","8%","58 : 42"
"251-300","Paris-Sorbonne University – Paris 4FranceCourses","21,580","27.4","21%","69 : 31"
"251-300","Simon Fraser UniversityCanadaCoursesExplore","26,640","28.3","19%","55 : 45"
"251-300","University of SurreyUnited KingdomCoursesExplore","12,063","16.6","38%","55 : 45"
"251-300","Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support","19,660","15.9","15%","55 : 45"
"251-300","University of TasmaniaAustraliaCoursesEnquire","18,340","23.8","21%","57 : 43"
"251-300","The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire","24,716","17.0","5%","n/a"
"251-300","Tomsk Polytechnic UniversityRussian FederationCourses","11,902","6.9","17%","39 : 61"
"251-300","Tulane UniversityUnited StatesCoursesEnquireAdmissions Support","11,381","8.4","8%","56 : 44"
"251-300","Umeå UniversitySwedenCourses","16,667","11.9","7%","60 : 40"
"251-300","TU WienAustriaCourses","26,419","52.0","27%","27 : 73"
"251-300","Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore","30,850","18.6","10%","42 : 58"
"251-300","University of WollongongAustraliaCoursesExplore","16,489","25.4","24%","50 : 50"
