"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"164","Trinity College DublinIrelandCoursesExplore","16,853","21.9","30%","59 : 41"
"165","University of LiverpoolUnited KingdomCoursesEnquire","23,057","13.8","33%","55 : 45"
"=166","Bielefeld UniversityGermanyCourses","24,875","77.5","8%","57 : 43"
"=166","University of LeicesterUnited KingdomCoursesEnquire","14,645","14.3","32%","53 : 47"
"=168","University of AberdeenUnited KingdomCoursesEnquire","12,399","15.7","39%","57 : 43"
"=168","University of BolognaItalyCoursesExplore","65,819","24.0","12%","56 : 44"
"=168","Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","44,801","11.2","17%","52 : 48"
"171","Hong Kong Polytechnic UniversityHong KongCoursesExplore","20,388","23.1","25%","52 : 48"
"172","University of Alabama at BirminghamUnited StatesCoursesExplore","16,927","16.7","6%","62 : 38"
"=173","Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support","19,575","13.9","35%","49 : 51"
"=173","University of RochesterUnited StatesCoursesEnquireAdmissions Support","9,824","4.2","31%","49 : 51"
"=175","University of FloridaUnited StatesCoursesEnquireAdmissions Support","46,642","16.8","10%","55 : 45"
"=175","Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents","27,255","25.6","22%","28 : 72"
"=175","Stockholm UniversitySwedenCourses","27,185","19.5","14%","n/a"
"178","Texas A&M UniversityUnited StatesCoursesExplore","60,818","24.8","8%","47 : 53"
"=179","University of AucklandNew ZealandCoursesExplore","32,821","22.1","32%","56 : 44"
"=179","University of California, Santa CruzUnited StatesCoursesEnquire","18,783","23.0","10%","50 : 50"
"=179","Korea UniversitySouth KoreaCoursesExplore","22,965","16.0","22%","n/a"
"=179","Queensland University of TechnologyAustraliaCoursesExplore","34,871","38.2","16%","54 : 46"
"183","University of Erlangen-NurembergGermanyCourses","38,111","57.0","12%","48 : 52"
"=184","Aalto UniversityFinlandCourses","12,195","18.6","26%","34 : 66"
"=184","Technical University of DenmarkDenmarkCoursesVerify Documents","9,265","6.6","25%","30 : 70"
"=186","Eindhoven University of TechnologyNetherlandsCoursesExplore","8,917","20.7","19%","n/a"
"=186","University of GothenburgSwedenCoursesVerify Documents","19,677","10.2","13%","n/a"
"188","Télécom ParisFranceCourses","923","5.6","39%","21 : 79"
"=189","Lomonosov Moscow State UniversityRussian FederationCourses","29,235","7.3","29%","48 : 52"
"=189","University of MünsterGermanyCoursesVerify Documents","43,835","43.4","8%","n/a"
"=189","Tel Aviv UniversityIsraelCourses","22,414","22.3","7%","55 : 45"
"192","University of East AngliaUnited KingdomCoursesExplore","15,195","13.9","28%","60 : 40"
"193","University of CanberraAustraliaCoursesExplore","10,823","36.2","32%","n/a"
"=194","University of Duisburg-EssenGermanyCoursesExplore","42,698","53.0","19%","48 : 52"
"=194","University of Technology SydneyAustraliaCoursesExplore","26,385","43.4","34%","51 : 49"
"=194","University of the WitwatersrandSouth AfricaCoursesExplore","28,521","26.3","8%","56 : 44"
"197","Yonsei University (Seoul campus)South KoreaCoursesExplore","17,744","14.6","22%","47 : 53"
"=198","University of AntwerpBelgiumCoursesVerify Documents","15,166","29.3","17%","55 : 45"
"=198","Cardiff UniversityUnited KingdomCoursesEnquire","25,501","13.5","27%","59 : 41"
"=198","George Washington UniversityUnited StatesCoursesEnquire","23,488","13.1","18%","60 : 40"
"=198","University of LausanneSwitzerlandCourses","12,197","9.6","24%","n/a"
"=198","University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support","9,213","12.7","46%","58 : 42"
"201–250","Aalborg UniversityDenmarkCoursesExplore","16,340","13.6","15%","n/a"
"201–250","University of BarcelonaSpainCoursesExplore","46,214","11.8","10%","62 : 38"
"201–250","University of BergenNorwayCourses","14,007","12.5","14%","60 : 40"
"201–250","Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support","5,375","12.2","27%","57 : 43"
"201–250","University of CalgaryCanadaCoursesEnquire","28,560","16.0","19%","n/a"
"201–250","Copenhagen Business SchoolDenmarkCoursesVerify Documents","16,317","30.9","25%","48 : 52"
"201–250","University of DundeeUnited KingdomCoursesEnquire","12,122","17.6","22%","63 : 37"
"201–250","École Normale Supérieure de LyonFranceCourses","2,362","8.9","13%","48 : 52"
"201–250","Griffith UniversityAustraliaCoursesExplore","34,120","23.6","17%","58 : 42"
"201–250","University of Hawai’i at MānoaUnited StatesCoursesEnquire","15,054","10.8","10%","57 : 43"
"201–250","Hebrew University of JerusalemIsraelCourses","16,137","12.0","5%","56 : 44"
"201–250","University of HohenheimGermanyCoursesVerify Documents","9,234","37.8","15%","57 : 43"
"201–250","Howard UniversityUnited StatesCoursesEnquire","8,449","7.5","8%","65 : 35"
"201–250","University of IowaUnited StatesCoursesEnquire","28,945","11.6","12%","52 : 48"
"201–250","James Cook UniversityAustraliaCoursesEnquire","11,491","21.2","11%","63 : 37"
"201–250","King Abdulaziz UniversitySaudi ArabiaCoursesExplore","32,853","7.9","21%","54 : 46"
"201–250","University of KonstanzGermanyCourses","11,387","56.1","13%","55 : 45"
"201–250","KTH Royal Institute of TechnologySwedenCoursesVerify Documents","12,659","15.7","20%","33 : 67"
"201–250","Université Libre de BruxellesBelgiumCoursesVerify Documents","27,194","36.2","34%","56 : 44"
"201–250","University of LuxembourgLuxembourgCourses","4,654","18.7","49%","51 : 49"
"201–250","Macquarie UniversityAustraliaCoursesExplore","30,234","68.6","29%","52 : 48"
"201–250","University of MassachusettsUnited StatesCoursesEnquire","61,204","13.0","15%","48 : 52"
"201–250","Medical University of GrazAustriaCourses","3,352","10.9","24%","53 : 47"
"201–250","Medical University of ViennaAustriaCourses","7,142","8.1","30%","52 : 48"
"201–250","University of MiamiUnited StatesCoursesEnquireAdmissions Support","15,971","6.3","16%","52 : 48"
"201–250","Moscow Institute of Physics and Technology (MIPT)Russian FederationCourses","5,716","11.2","15%","24 : 76"
"201–250","Newcastle UniversityUnited KingdomCoursesEnquireExplore","22,691","14.1","27%","51 : 49"
"201–250","University of OtagoNew ZealandCourses","18,196","20.0","21%","59 : 41"
"201–250","University of PaduaItalyCourses","45,169","21.3","4%","55 : 45"
"201–250","Paris-Sud UniversityFranceCourses","28,726","14.5","17%","56 : 44"
"201–250","Queen’s University BelfastUnited KingdomCoursesExplore","17,747","17.2","36%","55 : 45"
"201–250","RCSI University of Medicine and Health SciencesIrelandCoursesExplore","2,265","21.1","65%","n/a"
"201–250","University of ReadingUnited KingdomCoursesEnquire","14,107","14.9","31%","57 : 43"
"201–250","St George’s, University of LondonUnited KingdomCoursesEnquire","3,226","14.7","21%","62 : 38"
"201–250","University of South Florida (Tampa)United StatesCoursesEnquire","33,885","18.9","14%","n/a"
"201–250","Tilburg UniversityNetherlandsCoursesExplore","8,033","21.4","15%","50 : 50"
"201–250","University of TwenteNetherlandsCoursesVerify Documents","7,584","13.9","32%","37 : 63"
"201–250","Ulsan National Institute of Science and Technology (UNIST)South KoreaCoursesExplore","4,127","13.9","8%","26 : 74"
"201–250","University College DublinIrelandCourses","22,541","23.1","29%","n/a"
"201–250","University of UtahUnited StatesCoursesEnquire","30,365","14.2","8%","47 : 53"
"201–250","Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore","32,838","18.3","14%","43 : 57"
"201–250","Vita-Salute San Raffaele UniversityItalyCourses","2,610","10.7","3%","59 : 41"
"201–250","Vrije Universiteit BrusselBelgiumCoursesVerify Documents","11,371","28.4","22%","54 : 46"
"201–250","Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support","7,675","4.0","9%","53 : 47"
"201–250","University of WaterlooCanadaCoursesExplore","33,519","23.6","20%","47 : 53"
"201–250","Western UniversityCanadaCoursesEnquire","29,865","23.1","18%","56 : 44"
"201–250","William & MaryUnited StatesCoursesEnquireAdmissions Support","8,235","11.4","9%","55 : 45"
"201–250","University of WollongongAustraliaCoursesExplore","18,642","31.5","29%","52 : 48"
"251–300","Alfaisal UniversitySaudi ArabiaCoursesExplore","2,566","10.4","34%","60 : 40"
"251–300","Auckland University of TechnologyNew ZealandCoursesExplore","18,035","17.1","47%","59 : 41"
"251–300","Autonomous University of MadridSpainCourses","29,576","13.4","14%","61 : 39"
"251–300","University of BathUnited KingdomCoursesEnquireAdmissions Support","13,825","16.4","32%","46 : 54"
"251–300","Brighton and Sussex Medical SchoolUnited KingdomCoursesEnquire","879","11.3","15%","57 : 43"
"251–300","University at BuffaloUnited StatesCoursesEnquire","25,849","17.4","17%","44 : 56"
"251–300","University of California, RiversideUnited StatesCoursesEnquire","22,272","18.0","14%","53 : 47"
"251–300","Chalmers University of TechnologySwedenCoursesVerify Documents","9,209","12.5","17%","32 : 68"
"251–300","University of Cincinnati – UptownUnited StatesCoursesEnquire","28,434","20.4","9%","51 : 49"
"251–300","Curtin UniversityAustraliaCoursesExplore","29,214","20.2","31%","51 : 49"
"251–300","Dalhousie UniversityCanadaCoursesEnquire","15,196","14.7","23%","54 : 46"
"251–300","University of DelawareUnited StatesCoursesEnquire","20,566","17.0","10%","57 : 43"
"251–300","École des Ponts ParisTechFranceCoursesVerify Documents","2,005","11.3","44%","32 : 68"
"251–300","University of EssexUnited KingdomCoursesEnquire","11,923","16.1","39%","54 : 46"
"251–300","Flinders UniversityAustraliaCoursesExplore","16,844","25.8","34%","64 : 36"
"251–300","Florida State UniversityUnited StatesCoursesEnquire","38,520","24.1","7%","56 : 44"
"251–300","George Mason UniversityUnited StatesCoursesEnquire","29,377","18.0","10%","54 : 46"
"251–300","Heriot-Watt UniversityUnited KingdomCoursesEnquire","9,189","17.2","35%","41 : 59"
"251–300","HSE UniversityRussian FederationCourses","22,111","13.1","9%","n/a"
"251–300","University of Illinois at ChicagoUnited StatesCoursesEnquire","27,031","11.5","20%","52 : 48"
"251–300","University of KielGermanyCoursesVerify Documents","26,412","22.2","8%","53 : 47"
"251–300","La Trobe UniversityAustraliaCoursesEnquire","22,292","33.9","29%","64 : 36"
"251–300","Université LavalCanadaCoursesExplore","29,250","17.3","13%","57 : 43"
"251–300","Macau University of Science and TechnologyMacaoCoursesExplore","9,924","24.4","79%","56 : 44"
"251–300","Medical University of InnsbruckAustriaCourses","2,966","4.3","44%","52 : 48"
"251–300","National University of Ireland, GalwayIrelandCourses","13,911","26.6","17%","58 : 42"
"251–300","University of NavarraSpainCoursesVerify Documents","10,833","13.0","22%","53 : 47"
"251–300","University of OregonUnited StatesCoursesEnquire","22,143","10.8","12%","54 : 46"
"251–300","Oregon Health and Science UniversityUnited StatesCoursesEnquire","2,895","1.0","3%","66 : 34"
"251–300","University of OuluFinlandCoursesExplore","10,086","30.0","6%","51 : 49"
"251–300","University of PassauGermanyCourses","11,387","86.6","12%","59 : 41"
"251–300","University of PotsdamGermanyCoursesExplore","20,063","53.9","11%","57 : 43"
"251–300","Queen’s UniversityCanadaCoursesEnquireExplore","23,306","25.1","13%","58 : 42"
"251–300","Royal Holloway, University of LondonUnited KingdomCoursesEnquire","9,503","15.2","36%","59 : 41"
"251–300","Ruhr University BochumGermanyCourses","43,015","60.5","14%","49 : 51"
"251–300","University of São PauloBrazilCourses","83,214","15.9","4%","48 : 52"
"251–300","Sapienza University of RomeItalyCourses","71,318","21.3","6%","57 : 43"
"251–300","Simon Fraser UniversityCanadaCoursesExplore","26,521","27.3","30%","55 : 45"
"251–300","University of South AustraliaAustraliaCoursesEnquire","20,268","30.5","25%","58 : 42"
"251–300","University of Southern DenmarkDenmarkCourses","21,281","12.1","17%","53 : 47"
"251–300","Stellenbosch UniversitySouth AfricaCoursesExplore","24,308","26.1","8%","55 : 45"
"251–300","University of StuttgartGermanyCoursesVerify Documents","26,004","45.8","20%","32 : 68"
"251–300","Sun Yat-sen UniversityChinaCoursesExplore","53,603","16.6","9%","51 : 49"
"251–300","University of SurreyUnited KingdomCoursesExplore","13,125","16.0","37%","55 : 45"
"251–300","Swansea UniversityUnited KingdomCoursesEnquire","16,445","16.7","23%","45 : 55"
"251–300","Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support","20,236","15.7","20%","53 : 47"
"251–300","Tampere UniversityFinlandCourses","15,149","21.8","6%","51 : 49"
"251–300","Technical University of DarmstadtGermanyCourses","18,166","40.8","17%","30 : 70"
"251–300","Tohoku UniversityJapanCourses","17,735","8.2","12%","27 : 73"
"251–300","Tokyo Institute of TechnologyJapanCourses","9,752","7.7","13%","15 : 85"
"251–300","Western Sydney UniversityAustraliaCoursesExplore","32,259","35.7","17%","56 : 44"
"301–350","Aix-Marseille UniversityFranceCourses","67,857","16.6","12%","59 : 41"
"301–350","Anglia Ruskin University ARUUnited KingdomCoursesEnquire","18,022","23.1","30%","63 : 37"
"301–350","Beijing Normal UniversityChinaCourses","23,524","15.4","11%","n/a"
