"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","20,664","11.2","41%","46 : 54"
"2","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","2,240","6.4","30%","34 : 66"
"3","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","18,978","10.9","37%","47 : 53"
"4","Stanford UniversityUnited StatesCoursesExplore","16,135","7.3","23%","43 : 57"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","11,247","8.6","34%","39 : 61"
"6","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","7,983","8.1","25%","45 : 55"
"7","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","20,823","9.2","24%","49 : 51"
"8","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","12,402","5.4","20%","50 : 50"
"9","The University of ChicagoUnited StatesCoursesExplore","13,833","5.7","28%","46 : 54"
"10","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","16,760","11.7","56%","38 : 62"
"11","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","20,578","6.5","21%","52 : 48"
"12","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","16,171","4.5","26%","52 : 48"
"=13","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","41,081","13.7","17%","50 : 50"
"=13","ETH ZurichSwitzerlandCourses","18,956","12.5","39%","32 : 68"
"15","UCLUnited KingdomCoursesEnquireAdmissions Support","32,665","10.6","52%","57 : 43"
"16","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","26,586","5.8","37%","n/a"
"17","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","41,066","9.4","17%","54 : 46"
"18","University of TorontoCanadaCoursesEnquireExplore","73,370","20.1","21%","59 : 41"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","22,319","9.8","25%","49 : 51"
"20","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","15,309","4.3","19%","49 : 51"
"21","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","42,982","8.3","17%","49 : 51"
"22","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","17,951","12.8","20%","49 : 51"
"23","Tsinghua UniversityChinaCoursesExplore","38,783","12.0","11%","34 : 66"
"24","Peking UniversityChinaCoursesExplore","39,575","11.5","15%","46 : 54"
"25","National University of SingaporeSingaporeCoursesExplore","30,869","17.9","28%","51 : 49"
"26","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","45,692","11.1","16%","53 : 47"
"=27","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","13,430","13.6","48%","41 : 59"
"=27","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","10,570","12.1","71%","53 : 47"
"29","New York UniversityUnited StatesCoursesEnquireAdmissions Support","44,466","8.9","33%","57 : 43"
"30","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","29,433","12.8","41%","60 : 40"
"31","University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","33,579","13.0","23%","46 : 54"
"=32","LMU MunichGermanyCoursesExplore","34,519","34.7","17%","61 : 39"
"=32","University of MelbourneAustraliaCoursesEnquire","47,385","26.3","46%","56 : 44"
"34","University of British ColumbiaCanadaCoursesEnquire","52,108","18.1","32%","55 : 45"
"35","University of Hong KongHong KongCoursesExplore","18,260","18.2","44%","54 : 46"
"=36","King’s College LondonUnited KingdomCoursesAdmissions Support","26,057","12.5","44%","62 : 38"
"=36","The University of TokyoJapanCourses","25,913","10.6","12%","n/a"
"=38","École Polytechnique Fédérale de LausanneSwitzerlandCourses","10,492","11.4","59%","28 : 72"
"=38","Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","21,372","18.3","27%","33 : 67"
"=38","University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support","49,165","17.2","10%","52 : 48"
"41","Karolinska InstituteSwedenCoursesVerify Documents","7,777","9.0","20%","68 : 32"
"42","McGill UniversityCanadaCoursesEnquire","31,294","13.0","29%","58 : 42"
"43","Technical University of MunichGermanyCoursesVerify Documents","40,472","47.8","27%","34 : 66"
"44","Heidelberg UniversityGermanyCourses","20,800","16.1","18%","54 : 46"
"=45","KU LeuvenBelgiumCoursesExplore","45,049","36.3","15%","50 : 50"
"=45","Paris Sciences et Lettres – PSL Research University ParisFranceCourses","21,298","11.5","26%","46 : 54"
"47","The Hong Kong University of Science and TechnologyHong KongCoursesExplore","10,125","22.3","31%","n/a"
"=48","University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support","44,916","17.9","24%","47 : 53"
"=48","Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,088","15.9","27%","48 : 52"
"50","Australian National UniversityAustraliaCoursesEnquire","17,359","17.8","44%","52 : 48"
"51","University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support","39,154","10.0","13%","n/a"
"52","Washington University in St LouisUnited StatesCoursesExplore","13,401","7.5","20%","n/a"
"53","Brown UniversityUnited StatesCoursesEnquireAdmissions Support","9,391","10.8","20%","n/a"
"54","University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support","35,419","9.4","8%","57 : 43"
"=55","University of California, DavisUnited StatesCoursesEnquireAdmissions Support","39,164","12.0","14%","58 : 42"
"=55","University of ManchesterUnited KingdomCoursesEnquireExplore","37,038","14.4","40%","53 : 47"
"=57","University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","24,089","27.6","16%","52 : 48"
"=57","Chinese University of Hong KongHong KongCoursesExplore","18,340","18.6","32%","n/a"
"59","Wageningen University & ResearchNetherlandsCourses","13,914","21.3","27%","53 : 47"
"60","University of SydneyAustraliaCourses","45,111","20.1","39%","58 : 42"
"61","Boston UniversityUnited StatesCoursesEnquireAdmissions Support","25,662","11.6","27%","60 : 40"
"=62","University of AmsterdamNetherlandsCoursesExplore","26,723","13.5","18%","56 : 44"
"=62","University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support","36,929","11.7","25%","53 : 47"
"64","Seoul National UniversitySouth KoreaCourses","26,182","12.4","12%","n/a"
"65","Kyoto UniversityJapanCourses","22,566","9.0","9%","24 : 76"
"66","The University of QueenslandAustraliaCoursesExplore","39,144","35.7","34%","55 : 45"
"=67","Delft University of TechnologyNetherlandsCoursesVerify Documents","18,743","20.2","30%","29 : 71"
"=67","Leiden UniversityNetherlandsCoursesExplore","28,741","18.7","16%","59 : 41"
"69","Erasmus University RotterdamNetherlandsCoursesExplore","23,167","20.4","23%","51 : 49"
"70","Ohio State University (Main campus)United StatesCoursesEnquire","54,372","12.5","13%","50 : 50"
"71","UNSW SydneyAustraliaCoursesExplore","44,336","35.7","41%","47 : 53"
"72","McMaster UniversityCanadaCoursesExplore","24,412","28.1","17%","55 : 45"
"73","University of GroningenNetherlandsCoursesExplore","27,228","23.8","21%","51 : 49"
"74","Humboldt University of BerlinGermanyCourses","33,463","56.1","17%","n/a"
"=75","Monash UniversityAustraliaCoursesEnquire","52,989","33.9","39%","57 : 43"
"=75","Utrecht UniversityNetherlandsCoursesExplore","31,833","14.2","9%","59 : 41"
"77","University of WarwickUnited KingdomCoursesEnquireAdmissions Support","20,599","13.2","41%","49 : 51"
"78","Penn State (Main campus)United StatesCoursesEnquire","46,204","15.3","16%","46 : 54"
"79","University of MinnesotaUnited StatesCoursesEnquire","61,120","12.4","11%","52 : 48"
"=80","Charité - Universitätsmedizin BerlinGermanyCourses","7,076","17.6","19%","64 : 36"
"=80","Emory UniversityUnited StatesCoursesEnquireAdmissions Support","12,735","4.0","20%","58 : 42"
"=80","University of Science and Technology of ChinaChinaCoursesExplore","16,245","7.7","4%","n/a"
"=80","Sorbonne UniversityFranceCourses","43,076","13.5","19%","58 : 42"
"84","Michigan State UniversityUnited StatesCoursesEnquire","44,789","16.5","16%","51 : 49"
"85","University of MontrealCanadaCoursesExplore","36,794","20.2","22%","n/a"
"86","University of FreiburgGermanyCourses","21,475","42.8","23%","54 : 46"
"87","University of BristolUnited KingdomCoursesAdmissions Support","21,783","13.6","27%","54 : 46"
"88","Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support","40,451","15.7","23%","43 : 57"
"89","Sungkyunkwan University (SKKU)South KoreaCoursesExplore","23,342","19.5","15%","43 : 57"
"90","University of ZurichSwitzerlandCourses","22,609","12.3","21%","57 : 43"
"=91","University of Maryland, College ParkUnited StatesCoursesEnquire","33,108","16.6","11%","48 : 52"
"=91","University of TübingenGermanyCoursesVerify Documents","27,901","37.5","14%","58 : 42"
"93","École PolytechniqueFranceCoursesExplore","3,030","5.7","40%","22 : 78"
"=94","University of BaselSwitzerlandCourses","11,518","15.8","27%","56 : 44"
"=94","Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support","6,247","7.7","15%","49 : 51"
"=96","University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","32,706","16.5","26%","52 : 48"
"=96","University of HelsinkiFinlandCourses","22,072","16.6","5%","66 : 34"
"=96","Lund UniversitySwedenCoursesVerify Documents","27,266","12.1","19%","54 : 46"
"=99","University of GlasgowUnited KingdomCoursesExplore","25,357","15.4","37%","59 : 41"
"=99","RWTH Aachen UniversityGermanyCourses","45,377","61.1","21%","32 : 68"
"101","University of CopenhagenDenmarkCourses","31,219","4.3","17%","57 : 43"
"=102","Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support","16,279","8.5","18%","54 : 46"
"=102","Uppsala UniversitySwedenCoursesVerify Documents","25,438","16.7","15%","57 : 43"
"104","University of ArizonaUnited StatesCoursesEnquire","39,124","18.4","10%","52 : 48"
"=105","University of BonnGermanyCoursesVerify Documents","36,352","67.7","13%","55 : 45"
"=105","Rice UniversityUnited StatesCoursesEnquireAdmissions Support","6,667","8.9","28%","42 : 58"
"=107","University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support","23,116","8.6","12%","52 : 48"
"=107","Zhejiang UniversityChinaCoursesExplore","33,427","10.7","22%","23 : 77"
"109","Fudan UniversityChinaCourses","32,537","11.2","12%","53 : 47"
"=110","Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses","9,481","10.2","8%","20 : 80"
"=110","Queen Mary University of LondonUnited KingdomCourses","17,799","14.1","43%","54 : 46"
"112","University of BirminghamUnited KingdomCoursesEnquire","29,542","15.5","29%","57 : 43"
"=113","University of BernSwitzerlandCourses","11,090","16.5","16%","56 : 44"
"=113","University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support","26,652","5.8","11%","51 : 49"
"115","Aarhus UniversityDenmarkCourses","26,842","14.4","9%","55 : 45"
"116","Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support","12,006","3.0","14%","54 : 46"
"=117","Free University of BerlinGermanyCoursesVerify Documents","35,894","58.2","21%","59 : 41"
"=117","University of SheffieldUnited KingdomCoursesEnquire","26,218","15.0","34%","50 : 50"
"119","Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support","10,654","8.8","23%","50 : 50"
"=120","University of AdelaideAustraliaCoursesExplore","21,093","29.9","29%","49 : 51"
"=120","National Taiwan University (NTU)TaiwanCoursesExplore","27,254","11.1","11%","40 : 60"
"122","University of SouthamptonUnited KingdomCoursesEnquire","23,863","13.7","34%","53 : 47"
"123","Ghent UniversityBelgiumCoursesVerify Documents","38,080","37.0","10%","54 : 46"
"124","University of Colorado BoulderUnited StatesCoursesEnquire","33,186","16.3","11%","44 : 56"
"125","University of GöttingenGermanyCoursesVerify Documents","30,773","29.1","13%","51 : 49"
"126","City University of Hong KongHong KongCoursesExplore","9,587","11.0","45%","59 : 41"
"127","Maastricht UniversityNetherlandsCoursesExplore","16,857","18.6","54%","60 : 40"
"=128","Radboud University NijmegenNetherlandsCoursesExplore","20,024","17.5","14%","55 : 45"
"=128","University of YorkUnited KingdomCoursesEnquire","16,058","14.9","24%","56 : 44"
"130","Université de ParisFranceCoursesExplore","61,390","15.5","17%","64 : 36"
"=131","University of OsloNorwayCoursesVerify Documents","20,783","12.6","17%","62 : 38"
"=131","The University of Western AustraliaAustraliaCoursesEnquire","18,400","23.2","29%","49 : 51"
"133","Durham UniversityUnited KingdomCoursesEnquireAdmissions Support","16,963","14.8","30%","55 : 45"
"=134","Indiana UniversityUnited StatesCoursesEnquire","66,872","13.6","15%","52 : 48"
"=134","University of ViennaAustriaCourses","33,547","40.2","27%","66 : 34"
"=136","University of AlbertaCanadaCoursesEnquire","31,919","21.0","26%","55 : 45"
"=136","University of Cape TownSouth AfricaCoursesExplore","21,812","11.9","17%","53 : 47"
"138","Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents","23,025","16.5","10%","58 : 42"
"=139","Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support","12,657","12.5","38%","51 : 49"
"=139","Tufts UniversityUnited StatesCoursesEnquireAdmissions Support","11,017","9.8","16%","55 : 45"
"=141","University of OttawaCanadaCoursesEnquireExplore","35,365","24.7","19%","59 : 41"
"=141","Ulm UniversityGermanyCoursesVerify Documents","10,629","27.7","13%","48 : 52"
"143","Pompeu Fabra UniversitySpainCoursesVerify Documents","11,636","21.6","13%","60 : 40"
"=144","University of GenevaSwitzerlandCourses","16,935","15.6","39%","61 : 39"
"=144","Nanjing UniversityChinaCourses","34,569","15.5","10%","44 : 56"
"=146","University of ExeterUnited KingdomCoursesExplore","21,451","17.6","28%","54 : 46"
"=146","Pohang University of Science and Technology (POSTECH)South KoreaCourses","3,215","10.3","3%","23 : 77"
"=146","University of SussexUnited KingdomCoursesEnquire","14,978","16.1","39%","54 : 46"
"=149","University of HamburgGermanyCoursesExplore","30,375","59.3","12%","56 : 44"
"=149","Sant’Anna School of Advanced Studies – PisaItalyCourses","776","12.4","19%","35 : 65"
"=149","Technical University of BerlinGermanyCourses","22,622","60.6","24%","34 : 66"
"=152","Université Catholique de LouvainBelgiumCoursesVerify Documents","26,235","39.3","20%","53 : 47"
"=152","University of NottinghamUnited KingdomCoursesEnquire","29,699","14.6","29%","54 : 46"
"=152","Scuola Normale Superiore di PisaItalyCourses","558","6.8","11%","29 : 71"
"=155","Arizona State University (Tempe)United StatesCoursesExplore","46,683","21.1","21%","43 : 57"
"=155","University of LeedsUnited KingdomCoursesEnquire","30,236","14.2","29%","61 : 39"
"=157","Autonomous University of BarcelonaSpainCoursesExplore","31,877","12.6","16%","59 : 41"
"=157","University of CologneGermanyCoursesVerify Documents","36,965","36.5","16%","63 : 37"
"=157","University of MannheimGermanyCoursesVerify Documents","10,730","79.9","18%","56 : 44"
"=157","University of Notre DameUnited StatesCoursesEnquireAdmissions Support","12,104","13.7","12%","45 : 55"
"=157","Shanghai Jiao Tong UniversityChinaCoursesExplore","38,853","11.1","13%","44 : 56"
"=157","TU DresdenGermanyCoursesVerify Documents","32,309","34.2","14%","42 : 58"
"163","University of WürzburgGermanyCourses","24,082","36.6","10%","56 : 44"
