"Rank","NameCountry/Region","Overall","Teaching","Research","Citations","Industry Income","International Outlook"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","95.4","90.5","99.6","98.4","65.5","96.4"
"2","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.5","92.1","97.2","97.9","88.0","82.5"
"3","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","94.4","91.4","98.7","95.8","59.3","95.0"
"4","Stanford UniversityUnited StatesCoursesExplore","94.3","92.8","96.4","99.9","66.2","79.5"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","93.6","90.5","92.4","99.5","86.9","89.0"
"6","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","93.2","90.3","96.3","98.8","58.6","81.1"
"7","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","93.0","89.2","98.6","99.1","47.3","76.3"
"8","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","91.7","92.0","94.8","97.3","52.4","68.7"
"9","The University of ChicagoUnited StatesCoursesExplore","90.2","89.1","91.4","96.7","52.7","76.0"
"10","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","89.8","84.5","87.6","97.0","69.9","97.1"
"11","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","89.6","87.5","90.4","98.2","74.0","65.0"
"12","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","89.2","81.7","91.4","98.3","91.3","73.2"
"=13","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","88.3","83.0","90.6","99.2","46.1","70.4"
"=13","ETH ZurichSwitzerlandCourses","88.3","81.8","92.8","90.3","56.8","98.2"
"15","UCLUnited KingdomCoursesEnquireAdmissions Support","87.1","77.8","88.7","96.1","42.7","96.2"
"16","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","87.0","85.6","82.6","98.2","44.8","79.3"
"17","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","86.8","83.1","88.6","97.3","51.3","64.1"
"18","University of TorontoCanadaCoursesEnquireExplore","85.5","76.6","89.5","93.6","50.5","84.7"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","85.1","79.7","86.0","96.6","37.1","73.4"
"20","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","84.0","82.4","76.8","97.0","99.9","61.5"
"21","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","83.8","79.4","86.1","94.9","47.7","59.2"
"22","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","83.5","74.2","83.8","97.8","78.4","64.1"
"23","Tsinghua UniversityChinaCoursesExplore","82.6","86.6","94.0","74.6","100.0","47.4"
"24","Peking UniversityChinaCoursesExplore","82.3","89.1","90.0","73.2","86.6","59.6"
"25","National University of SingaporeSingaporeCoursesExplore","81.9","76.8","90.4","76.9","58.8","95.5"
"26","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","81.6","72.2","82.2","98.6","47.5","60.4"
"=27","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","81.3","65.9","82.7","98.2","50.5","80.6"
"=27","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","81.3","69.0","83.0","92.8","35.1","93.2"
"29","New York UniversityUnited StatesCoursesEnquireAdmissions Support","81.1","76.8","77.5","96.5","38.7","65.4"
"30","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","79.4","67.3","74.1","96.4","38.9","93.8"
"31","University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","78.8","62.6","78.9","97.7","90.3","63.7"
"=32","LMU MunichGermanyCoursesExplore","77.8","68.4","77.0","88.8","100.0","67.2"
"=32","University of MelbourneAustraliaCoursesEnquire","77.8","65.9","74.1","89.8","76.3","93.1"
"34","University of British ColumbiaCanadaCoursesEnquire","76.3","61.5","73.2","92.5","43.8","94.4"
"35","University of Hong KongHong KongCoursesExplore","75.9","69.5","77.2","76.6","59.7","98.6"
"=36","King’s College LondonUnited KingdomCoursesAdmissions Support","75.7","61.3","68.5","94.8","45.6","95.6"
"=36","The University of TokyoJapanCourses","75.7","85.9","89.6","60.7","77.4","38.2"
"=38","École Polytechnique Fédérale de LausanneSwitzerlandCourses","75.4","66.6","66.3","88.3","66.4","98.6"
"=38","Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","75.4","60.2","76.4","90.4","61.6","77.1"
"=38","University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support","75.4","68.2","76.2","93.2","46.6","39.1"
"41","Karolinska InstituteSwedenCoursesVerify Documents","74.7","55.4","71.4","96.1","71.2","81.2"
"42","McGill UniversityCanadaCoursesEnquire","74.3","65.0","71.9","84.7","42.8","90.4"
"43","Technical University of MunichGermanyCoursesVerify Documents","74.1","64.6","70.4","85.5","100.0","72.9"
"44","Heidelberg UniversityGermanyCourses","73.5","67.1","60.3","96.2","54.6","67.5"
"=45","KU LeuvenBelgiumCoursesExplore","73.2","58.7","73.9","85.3","99.3","71.8"
"=45","Paris Sciences et Lettres – PSL Research University ParisFranceCourses","73.2","71.6","71.4","77.0","52.2","78.7"
"47","The Hong Kong University of Science and TechnologyHong KongCoursesExplore","73.1","57.4","66.1","89.8","71.9","97.7"
"=48","University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support","72.9","63.2","78.0","84.4","47.9","54.3"
"=48","Nanyang Technological University, SingaporeSingaporeCoursesExplore","72.9","57.6","70.4","84.9","76.5","95.1"
"50","Australian National UniversityAustraliaCoursesEnquire","72.1","54.4","69.7","88.4","46.4","95.5"
"51","University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support","72.0","68.8","70.3","85.3","46.3","47.4"
"52","Washington University in St LouisUnited StatesCoursesExplore","71.5","64.2","57.5","98.8","40.7","57.1"
"53","Brown UniversityUnited StatesCoursesEnquireAdmissions Support","70.0","64.0","56.1","94.9","36.5","61.4"
"54","University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support","69.9","59.7","63.2","96.9","43.9","38.0"
"=55","University of California, DavisUnited StatesCoursesEnquireAdmissions Support","69.7","62.4","66.9","83.2","51.4","62.4"
"=55","University of ManchesterUnited KingdomCoursesEnquireExplore","69.7","56.9","63.8","85.2","44.7","91.0"
"=57","University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","69.6","47.9","63.6","96.4","84.5","68.1"
"=57","Chinese University of Hong KongHong KongCoursesExplore","69.6","55.8","62.8","84.5","55.2","97.8"
"59","Wageningen University & ResearchNetherlandsCourses","69.4","49.3","57.1","96.1","100.0","81.9"
"60","University of SydneyAustraliaCourses","69.3","51.0","61.5","90.7","67.7","89.2"
"61","Boston UniversityUnited StatesCoursesEnquireAdmissions Support","68.5","57.3","55.6","95.7","41.4","64.4"
"=62","University of AmsterdamNetherlandsCoursesExplore","68.1","48.0","63.4","91.2","45.3","82.0"
"=62","University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support","68.1","54.7","59.3","93.1","39.7","66.2"
"64","Seoul National UniversitySouth KoreaCourses","68.0","72.3","71.6","66.5","86.6","35.8"
"65","Kyoto UniversityJapanCourses","67.7","73.7","78.1","59.9","66.2","33.7"
"66","The University of QueenslandAustraliaCoursesExplore","67.4","49.3","58.7","86.8","80.9","92.5"
"=67","Delft University of TechnologyNetherlandsCoursesVerify Documents","66.7","55.3","72.3","63.2","99.4","92.8"
"=67","Leiden UniversityNetherlandsCoursesExplore","66.7","48.3","65.0","83.1","72.7","79.4"
"69","Erasmus University RotterdamNetherlandsCoursesExplore","66.3","39.4","57.3","97.1","63.6","87.3"
"70","Ohio State University (Main campus)United StatesCoursesEnquire","66.1","57.5","56.1","87.3","53.3","59.5"
"71","UNSW SydneyAustraliaCoursesExplore","65.9","50.2","58.2","82.9","57.9","93.7"
"72","McMaster UniversityCanadaCoursesExplore","65.4","44.5","50.1","94.8","94.0","82.7"
"73","University of GroningenNetherlandsCoursesExplore","65.1","42.3","55.6","91.6","79.8","82.5"
"74","Humboldt University of BerlinGermanyCourses","65.0","61.8","66.8","67.9","40.2","67.8"
"=75","Monash UniversityAustraliaCoursesEnquire","64.7","47.3","56.6","83.8","67.2","89.9"
"=75","Utrecht UniversityNetherlandsCoursesExplore","64.7","44.1","61.2","88.4","65.3","65.5"
"77","University of WarwickUnited KingdomCoursesEnquireAdmissions Support","64.6","46.9","52.7","88.8","42.8","93.8"
"78","Penn State (Main campus)United StatesCoursesEnquire","64.2","55.2","67.1","75.7","52.1","47.4"
"79","University of MinnesotaUnited StatesCoursesEnquire","64.1","55.2","59.3","82.7","78.2","40.2"
"=80","Charité - Universitätsmedizin BerlinGermanyCourses","64.0","47.6","47.3","94.9","92.7","63.5"
"=80","Emory UniversityUnited StatesCoursesEnquireAdmissions Support","64.0","56.0","40.4","98.8","45.4","57.9"
"=80","University of Science and Technology of ChinaChinaCoursesExplore","64.0","64.6","59.5","74.7","79.6","31.3"
"=80","Sorbonne UniversityFranceCourses","64.0","62.3","50.6","79.9","38.4","69.2"
"84","Michigan State UniversityUnited StatesCoursesEnquire","63.9","56.6","57.4","80.0","37.8","63.3"
"85","University of MontrealCanadaCoursesExplore","63.4","48.2","49.7","86.4","70.0","84.1"
"86","University of FreiburgGermanyCourses","63.3","49.1","51.6","83.1","100.0","75.7"
"87","University of BristolUnited KingdomCoursesAdmissions Support","63.2","41.8","48.4","95.5","40.9","86.6"
"88","Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support","63.1","57.5","66.4","63.0","64.3","72.0"
"89","Sungkyunkwan University (SKKU)South KoreaCoursesExplore","63.0","57.6","61.2","70.3","97.3","51.1"
"90","University of ZurichSwitzerlandCourses","62.8","47.0","46.7","88.2","53.0","92.2"
"=91","University of Maryland, College ParkUnited StatesCoursesEnquire","62.7","46.9","59.1","89.6","39.2","41.2"
"=91","University of TübingenGermanyCoursesVerify Documents","62.7","51.2","56.2","80.1","67.0","64.0"
"93","École PolytechniqueFranceCoursesExplore","62.5","59.6","49.1","70.2","69.6","95.2"
"=94","University of BaselSwitzerlandCourses","62.4","43.0","41.2","91.4","99.4","96.1"
"=94","Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support","62.4","58.4","39.9","96.4","41.0","39.6"
"=96","University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","62.3","43.3","46.5","94.9","58.9","71.9"
"=96","University of HelsinkiFinlandCourses","62.3","43.4","59.3","88.1","38.1","55.1"
"=96","Lund UniversitySwedenCoursesVerify Documents","62.3","40.7","54.3","86.3","81.0","77.7"
"=99","University of GlasgowUnited KingdomCoursesExplore","62.2","41.1","47.9","91.8","40.0","92.3"
"=99","RWTH Aachen UniversityGermanyCourses","62.2","55.6","61.5","67.3","98.1","59.0"
"101","University of CopenhagenDenmarkCourses","62.1","48.1","44.1","89.6","48.1","85.4"
"=102","Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support","61.9","57.3","37.9","93.9","62.5","47.2"
"=102","Uppsala UniversitySwedenCoursesVerify Documents","61.9","41.6","56.4","85.0","74.6","68.1"
"104","University of ArizonaUnited StatesCoursesEnquire","61.8","52.6","53.7","85.3","52.7","40.2"
"=105","University of BonnGermanyCoursesVerify Documents","61.6","47.6","47.0","88.0","93.3","60.3"
"=105","Rice UniversityUnited StatesCoursesEnquireAdmissions Support","61.6","49.1","39.7","93.7","45.4","77.0"
"=107","University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support","61.5","54.4","43.5","91.3","41.6","48.9"
"=107","Zhejiang UniversityChinaCoursesExplore","61.5","66.0","64.7","50.6","100.0","61.8"
"109","Fudan UniversityChinaCourses","61.4","61.9","58.6","68.1","58.6","44.8"
"=110","Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses","61.3","62.6","66.4","58.1","99.9","35.5"
"=110","Queen Mary University of LondonUnited KingdomCourses","61.3","35.3","43.1","98.0","44.1","96.7"
"112","University of BirminghamUnited KingdomCoursesEnquire","60.9","39.6","45.6","92.1","39.3","89.2"
"=113","University of BernSwitzerlandCourses","60.4","44.5","41.2","86.6","85.0","87.3"
"=113","University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support","60.4","47.4","45.5","95.1","40.7","39.3"
"115","Aarhus UniversityDenmarkCourses","60.3","37.2","54.0","85.4","66.7","74.8"
