"Rank","NameCountry/Region","Overall","Teaching","Research","Citations","Industry Income","International Outlook"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","96.0","91.8","99.5","99.1","67.0","96.3"
"2","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","94.8","92.1","98.8","97.1","52.9","94.3"
"3","Stanford UniversityUnited StatesCoursesExplore","94.7","93.6","96.8","99.9","64.6","79.3"
"4","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.2","91.9","92.7","99.9","87.6","89.0"
"5","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.1","94.5","97.2","99.2","88.2","62.3"
"6","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","93.6","90.1","98.4","99.6","48.7","79.7"
"7","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","92.3","89.9","93.6","99.4","57.3","80.1"
"8","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","91.3","91.6","93.5","97.8","51.5","68.3"
"9","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","90.3","85.8","87.7","97.8","67.3","97.1"
"10","The University of ChicagoUnited StatesCoursesExplore","90.2","90.2","90.1","99.0","41.4","70.9"
"11","ETH ZurichSwitzerlandCourses","89.3","83.3","91.4","93.8","56.1","98.2"
"=12","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","89.0","81.9","90.5","98.5","95.5","71.9"
"=12","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","89.0","87.4","89.2","98.4","70.3","63.6"
"14","UCLUnited KingdomCoursesEnquireAdmissions Support","87.8","79.1","90.1","95.9","42.4","95.8"
"15","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","87.7","78.7","92.3","99.7","49.3","69.8"
"16","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","87.2","85.4","83.1","98.8","44.8","79.0"
"17","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","86.4","82.6","87.9","97.8","49.4","62.1"
"18","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","85.4","84.1","78.8","98.2","100.0","61.0"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","85.1","79.7","85.4","97.4","36.9","71.8"
"20","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","84.1","80.0","85.9","96.0","45.9","58.0"
"21","University of TorontoCanadaCoursesEnquireExplore","84.0","75.8","86.3","92.8","50.3","82.8"
"22","Tsinghua UniversityChinaCoursesExplore","82.9","87.7","94.1","74.8","99.8","45.8"
"23","National University of SingaporeSingaporeCoursesExplore","82.4","77.3","88.8","78.9","67.6","95.5"
"24","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","82.0","69.0","81.2","99.3","48.1","79.4"
"25","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","81.7","69.0","83.6","97.8","75.8","63.0"
"26","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","81.3","71.0","83.1","91.0","34.8","92.5"
"27","New York UniversityUnited StatesCoursesEnquireAdmissions Support","81.0","77.7","76.1","96.6","38.9","65.0"
"28","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","80.4","70.7","79.7","98.9","47.6","59.3"
"29","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","79.8","69.2","73.7","96.8","38.2","93.3"
"30","University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","79.7","65.4","79.2","98.2","96.0","59.9"
"31","Peking UniversityChinaCoursesExplore","79.3","88.8","80.4","76.7","48.3","57.5"
"=32","LMU MunichGermanyCoursesExplore","78.3","69.9","76.1","90.2","100.0","65.6"
"=32","University of MelbourneAustraliaCoursesEnquire","78.3","68.0","73.4","90.3","74.0","93.1"
"34","Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","77.5","62.5","76.1","95.1","62.2","77.1"
"35","École Polytechnique Fédérale de LausanneSwitzerlandCourses","76.9","66.5","66.5","92.8","69.1","98.7"
"36","University of Hong KongHong KongCoursesExplore","76.3","72.6","78.4","73.7","56.5","99.7"
"37","University of British ColumbiaCanadaCoursesEnquire","76.0","60.8","72.6","92.8","42.9","93.9"
"38","King’s College LondonUnited KingdomCoursesAdmissions Support","75.8","61.1","68.7","95.2","45.9","95.3"
"39","University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support","75.4","68.8","74.2","94.8","48.7","38.0"
"40","Karolinska InstituteSwedenCoursesVerify Documents","74.9","56.1","72.1","96.2","68.6","77.5"
