"Rank","NameCountry/Region","Overall","Teaching","Research","Citations","Industry Income","International Outlook"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","95.6","91.3","99.6","98.0","68.7","96.4"
"2","Stanford UniversityUnited StatesCoursesExplore","94.9","92.2","96.7","99.9","90.1","79.5"
"3","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","94.8","94.4","98.8","99.4","46.8","77.7"
"4","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.5","92.5","96.9","97.0","92.7","83.6"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.4","90.7","94.4","99.7","90.4","90.0"
"6","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","94.0","90.3","99.2","95.6","52.1","95.7"
"7","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","92.2","85.8","97.2","99.1","84.3","72.3"
"8","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","91.6","91.9","93.8","97.9","56.1","68.4"
"9","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","91.5","88.8","92.5","98.9","58.0","80.2"
"10","The University of ChicagoUnited StatesCoursesExplore","90.3","88.9","90.5","98.6","54.9","74.0"
"11","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","89.4","82.3","88.2","97.2","69.6","97.4"
"12","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","89.2","81.6","91.8","97.7","93.4","73.9"
"13","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","88.9","85.4","89.9","98.1","77.9","66.3"
"14","ETH ZurichSwitzerlandCourses","87.9","80.4","92.3","90.5","62.8","98.0"
"15","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","87.1","82.5","90.2","96.5","57.6","65.3"
"16","UCLUnited KingdomCoursesEnquireAdmissions Support","86.9","76.6","89.4","96.2","42.1","96.5"
"17","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","86.8","85.1","82.9","97.7","45.0","79.8"
"18","University of TorontoCanadaCoursesEnquireExplore","86.0","75.4","90.9","94.5","50.0","87.2"
