"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"=116","University of Colorado BoulderUnited StatesCoursesEnquire","29,741","16.3","9%","44 : 56"
"=116","École PolytechniqueFranceCoursesExplore","2,669","5.0","31%","18 : 82"
"118","Ghent UniversityBelgiumCoursesVerify Documents","35,374","37.0","9%","53 : 47"
"119","City University of Hong KongHong KongCoursesExplore","9,871","11.6","30%","52 : 48"
"120","University of CopenhagenDenmarkCourses","29,796","4.2","17%","62 : 38"
"=121","Pierre and Marie Curie UniversityFranceCourses","28,473","8.0","17%","48 : 52"
"=121","Radboud University NijmegenNetherlandsCoursesExplore","19,079","19.1","11%","57 : 43"
"=121","University of SouthamptonUnited KingdomCoursesEnquire","21,049","12.8","31%","53 : 47"
"=121","University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support","23,797","10.0","12%","53 : 47"
"125","The University of Western AustraliaAustraliaCoursesEnquire","20,777","23.0","27%","50 : 50"
"=126","Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support","9,622","6.6","18%","48 : 52"
"=126","University of ExeterUnited KingdomCoursesExplore","18,233","17.5","27%","55 : 45"
"128","Université Catholique de LouvainBelgiumCoursesVerify Documents","23,916","38.1","19%","54 : 46"
"129","University of YorkUnited KingdomCoursesEnquire","14,676","15.3","26%","55 : 45"
"130","University of BirminghamUnited KingdomCoursesEnquire","26,362","16.7","25%","54 : 46"
"131","Arizona State University (Tempe)United StatesCoursesExplore","43,082","20.1","16%","44 : 56"
"=131","Trinity College DublinIrelandCoursesExplore","15,805","23.4","25%","58 : 42"
"132","University of OsloNorwayCoursesVerify Documents","27,215","18.7","18%","54 : 46"
"133","University of LeedsUnited KingdomCoursesEnquire","27,791","15.0","22%","59 : 41"
"134","University of FloridaUnited StatesCoursesEnquireAdmissions Support","44,911","17.0","9%","54 : 46"
"=135","Tufts UniversityUnited StatesCoursesEnquireAdmissions Support","10,462","10.1","15%","54 : 46"
"=135","Ulm UniversityGermanyCoursesVerify Documents","10,370","27.3","12%","47 : 53"
"=137","University of GenevaSwitzerlandCourses","15,587","15.0","40%","61 : 39"
"=137","Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support","11,673","13.6","35%","52 : 48"
"=137","Scuola Normale Superiore di PisaItalyCourses","545","15.1","6%","30 : 70"
"=137","Sungkyunkwan University (SKKU)South KoreaCoursesExplore","24,791","19.1","10%","n/a"
"141","Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","42,892","10.8","8%","52 : 48"
"142","University of AdelaideAustraliaCoursesExplore","20,462","29.6","27%","47 : 53"
"143","University of Notre DameUnited StatesCoursesEnquireAdmissions Support","11,821","13.5","10%","45 : 55"
"=144","Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents","25,948","24.5","17%","27 : 73"
"=144","Stockholm UniversitySwedenCourses","31,272","23.5","8%","62 : 38"
"146","University of California, Santa CruzUnited StatesCoursesEnquire","17,203","24.5","2%","53 : 47"
"147","University of NottinghamUnited KingdomCoursesEnquire","29,738","14.7","28%","53 : 47"
"148","University of Cape TownSouth AfricaCoursesExplore","20,061","11.6","17%","53 : 47"
"149","University of SussexUnited KingdomCoursesEnquire","12,293","15.8","35%","55 : 45"
"150","Indiana UniversityUnited StatesCoursesEnquire","66,057","14.2","14%","52 : 48"
"=151","University of LausanneSwitzerlandCourses","12,647","13.5","24%","n/a"
"=151","University of RochesterUnited StatesCoursesEnquireAdmissions Support","9,628","4.5","28%","51 : 49"
"=153","University of Science and Technology of ChinaChinaCoursesExplore","14,827","8.1","3%","n/a"
"=153","University of TwenteNetherlandsCoursesVerify Documents","6,583","12.5","28%","36 : 64"
"155","Fudan UniversityChinaCourses","32,449","12.1","11%","50 : 50"
"=156","University of ArizonaUnited StatesCoursesEnquire","37,023","12.8","9%","52 : 48"
"=156","Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents","24,592","15.5","7%","56 : 44"
"158","University of LiverpoolUnited KingdomCoursesEnquire","19,085","11.7","34%","53 : 47"
"159","KTH Royal Institute of TechnologySwedenCoursesVerify Documents","12,841","15.9","17%","31 : 69"
"160","University of Erlangen-NurembergGermanyCourses","37,882","55.4","9%","49 : 51"
"=161","University of MünsterGermanyCoursesVerify Documents","41,807","42.4","6%","53 : 47"
"=161","University of ViennaAustriaCourses","34,711","20.3","26%","67 : 33"
"163","Autonomous University of BarcelonaSpainCoursesExplore","31,095","12.4","11%","59 : 41"
"164","TU DresdenGermanyCoursesVerify Documents","35,468","36.3","12%","42 : 58"
"=165","University of AucklandNew ZealandCoursesExplore","30,287","18.9","29%","54 : 46"
"=165","University of California, RiversideUnited StatesCoursesEnquire","20,901","22.6","13%","51 : 49"
"=165","University of East AngliaUnited KingdomCoursesExplore","13,997","13.9","28%","58 : 42"
"=165","University of MassachusettsUnited StatesCoursesEnquire","58,624","13.1","13%","49 : 51"
"169","Texas A&M UniversityUnited StatesCoursesExplore","53,694","22.1","9%","47 : 53"
"=170","University of CologneGermanyCoursesVerify Documents","44,882","41.3","11%","61 : 39"
"=170","University of GothenburgSwedenCoursesVerify Documents","17,761","10.6","12%","n/a"
"172","University of LeicesterUnited KingdomCoursesEnquire","14,179","12.5","36%","53 : 47"
"=173","Royal Holloway, University of LondonUnited KingdomCoursesEnquire","8,551","15.3","38%","58 : 42"
"=173","University of WaterlooCanadaCoursesExplore","31,776","24.8","15%","45 : 55"
"175","Pompeu Fabra UniversitySpainCoursesVerify Documents","10,791","20.1","12%","59 : 41"
"176","Technical University of DenmarkDenmarkCoursesVerify Documents","8,063","5.7","18%","27 : 73"
"177","Eindhoven University of TechnologyNetherlandsCoursesExplore","10,015","19.4","14%","22 : 78"
"178","University of LuxembourgLuxembourgCourses","5,219","17.2","55%","51 : 49"
"179","Paris-Sud UniversityFranceCourses","26,642","14.1","17%","55 : 45"
"=180","University of DundeeUnited KingdomCoursesEnquire","11,266","14.7","24%","61 : 39"
"=180","University of HamburgGermanyCoursesExplore","37,501","46.7","11%","57 : 43"
"=182","Cardiff UniversityUnited KingdomCoursesEnquire","23,549","14.3","25%","56 : 44"
"=182","University of MiamiUnited StatesCoursesEnquireAdmissions Support","16,054","6.0","15%","51 : 49"
"=182","Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support","18,368","14.5","28%","50 : 50"
"=182","University of the WitwatersrandSouth AfricaCoursesExplore","24,565","24.5","8%","56 : 44"
"=186","Hebrew University of JerusalemIsraelCourses","17,709","10.8","5%","57 : 43"
"=186","University of WürzburgGermanyCourses","22,297","33.5","8%","57 : 43"
"=188","University of AberdeenUnited KingdomCoursesEnquire","11,554","13.6","32%","55 : 45"
"=188","Lomonosov Moscow State UniversityRussian FederationCourses","29,563","7.4","21%","45 : 55"
"=190","Newcastle UniversityUnited KingdomCoursesEnquireExplore","20,307","15.6","28%","49 : 51"
"=190","Sant’Anna School of Advanced Studies – PisaItalyCourses","679","13.1","13%","38 : 62"
"=192","Hong Kong Polytechnic UniversityHong KongCoursesExplore","21,907","25.6","25%","54 : 46"
"=192","University of ReadingUnited KingdomCoursesEnquire","12,086","13.9","29%","56 : 44"
"194","University of KonstanzGermanyCourses","11,335","50.4","12%","54 : 46"
"=195","University of CalgaryCanadaCoursesEnquire","28,047","16.0","18%","53 : 47"
"=195","National Taiwan University (NTU)TaiwanCoursesExplore","31,581","11.6","8%","40 : 60"
"197","University of Duisburg-EssenGermanyCoursesExplore","41,002","53.0","12%","49 : 51"
"=198","Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support","5,532","13.1","23%","55 : 45"
"=198","Tilburg UniversityNetherlandsCoursesExplore","7,454","22.4","13%","49 : 51"
"200","University of Illinois at ChicagoUnited StatesCoursesEnquire","24,459","11.6","18%","53 : 47"
"201-250","Aalborg UniversityDenmarkCoursesExplore","19,286","17.4","15%","48 : 52"
"201-250","Aalto UniversityFinlandCourses","12,653","20.1","20%","34 : 66"
"201-250","University of AntwerpBelgiumCoursesVerify Documents","16,445","35.8","15%","54 : 46"
"201-250","University of BarcelonaSpainCoursesExplore","47,569","12.5","10%","61 : 39"
"201-250","University of BergenNorwayCourses","11,949","11.5","13%","59 : 41"
"201-250","Birkbeck, University of LondonUnited KingdomCoursesEnquire","9,690","19.5","38%","54 : 46"
"201-250","University of BolognaItalyCoursesExplore","84,486","22.3","7%","56 : 44"
"201-250","Boston CollegeUnited StatesCoursesEnquireAdmissions Support","12,932","16.5","19%","55 : 45"
"201-250","CentraleSupélecFranceCourses","4,130","11.4","32%","22 : 78"
"201-250","University of Cincinnati – UptownUnited StatesCoursesEnquire","27,712","21.9","8%","52 : 48"
"201-250","University College DublinIrelandCourses","21,438","22.7","25%","n/a"
"201-250","University of DelawareUnited StatesCoursesEnquire","19,426","16.2","10%","56 : 44"
"201-250","ESPCI ParisTechFranceCourses","481","6.3","14%","38 : 62"
"201-250","Florida State UniversityUnited StatesCoursesEnquire","41,737","30.2","7%","55 : 45"
"201-250","George Washington UniversityUnited StatesCoursesEnquire","21,409","12.4","15%","57 : 43"
"201-250","Goethe University FrankfurtGermanyCourses","45,453","13.1","15%","58 : 42"
"201-250","University of Hawai’i at MānoaUnited StatesCoursesEnquire","16,580","10.9","13%","56 : 44"
"201-250","University of IcelandIcelandCourses","13,373","24.0","8%","66 : 34"
"201-250","Indian Institute of ScienceIndiaCourses","3,398","8.3","1%","20 : 80"
"201-250","University of IowaUnited StatesCoursesEnquire","27,807","11.6","12%","52 : 48"
"201-250","University of KielGermanyCoursesVerify Documents","24,701","23.3","8%","54 : 46"
"201-250","King Abdulaziz UniversitySaudi ArabiaCoursesExplore","37,178","8.3","21%","55 : 45"
"201-250","Korea UniversitySouth KoreaCoursesExplore","22,739","15.5","16%","42 : 58"
"201-250","Université Libre de BruxellesBelgiumCoursesVerify Documents","23,712","35.0","32%","54 : 46"
"201-250","Nanjing UniversityChinaCourses","34,784","15.7","9%","42 : 58"
"201-250","National University of Ireland, GalwayIrelandCourses","13,911","26.1","16%","56 : 44"
"201-250","University of NewcastleAustraliaCoursesEnquire","23,838","22.7","18%","56 : 44"
"201-250","North Carolina State UniversityUnited StatesCoursesEnquire","30,187","13.1","12%","45 : 55"
"201-250","University of OtagoNew ZealandCourses","18,567","20.2","20%","57 : 43"
"201-250","University of OuluFinlandCoursesExplore","10,089","23.5","7%","50 : 50"
"201-250","Paris Descartes UniversityFranceCourses","32,978","24.4","15%","63 : 37"
"201-250","Paris Diderot University – Paris 7FranceCourses","27,836","14.8","17%","63 : 37"
"201-250","Politecnico di MilanoItalyCoursesExplore","33,486","25.3","13%","35 : 65"
"201-250","Queensland University of TechnologyAustraliaCoursesExplore","34,398","36.3","17%","54 : 46"
"201-250","Queen’s UniversityCanadaCoursesEnquireExplore","21,015","22.6","11%","58 : 42"
"201-250","Queen’s University BelfastUnited KingdomCoursesExplore","17,348","16.1","32%","55 : 45"
"201-250","RCSI University of Medicine and Health SciencesIrelandCoursesExplore","2,184","18.2","62%","n/a"
"201-250","Shanghai Jiao Tong UniversityChinaCoursesExplore","36,535","12.3","6%","41 : 59"
"201-250","Simon Fraser UniversityCanadaCoursesExplore","26,607","28.3","29%","55 : 45"
"201-250","University of South Florida (Tampa)United StatesCoursesEnquire","32,016","19.0","11%","n/a"
"201-250","St George’s, University of LondonUnited KingdomCoursesEnquire","3,077","14.5","16%","62 : 38"
"201-250","Stony Brook UniversityUnited StatesCoursesEnquire","22,867","10.9","24%","49 : 51"
"201-250","University of StuttgartGermanyCoursesVerify Documents","15,721","30.3","14%","30 : 70"
"201-250","University of Technology SydneyAustraliaCoursesExplore","25,069","44.0","35%","52 : 48"
"201-250","Technical University of DarmstadtGermanyCourses","20,719","51.9","18%","28 : 72"
"201-250","Tel Aviv UniversityIsraelCourses","23,663","24.0","4%","n/a"
"201-250","University of Texas at DallasUnited StatesCoursesExplore","17,825","25.0","25%","44 : 56"
"201-250","Tohoku UniversityJapanCourses","17,349","5.4","9%","26 : 74"
"201-250","University of TrentoItalyCourses","17,118","28.2","9%","52 : 48"
"201-250","University of UtahUnited StatesCoursesEnquire","30,193","14.8","10%","45 : 55"
"201-250","Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support","7,451","4.5","5%","50 : 50"
"201-250","Western UniversityCanadaCoursesEnquire","28,060","21.6","16%","55 : 45"
"201-250","Zhejiang UniversityChinaCoursesExplore","47,845","15.2","5%","41 : 59"
"201-250","École Normale Supérieure de LyonFranceCourses","2,238","8.4","15%","46 : 54"
"251-300","University of BathUnited KingdomCoursesEnquireAdmissions Support","11,765","16.5","30%","45 : 55"
"251-300","University of BayreuthGermanyCoursesVerify Documents","12,709","37.8","7%","46 : 54"
"251-300","Bielefeld UniversityGermanyCourses","22,279","69.6","8%","57 : 43"
"251-300","University at BuffaloUnited StatesCoursesEnquire","26,418","18.8","21%","46 : 54"
"251-300","Chalmers University of TechnologySwedenCoursesVerify Documents","8,819","11.9","15%","31 : 69"
"251-300","Charles Darwin UniversityAustraliaCoursesEnquire","6,096","21.3","25%","66 : 34"
"251-300","Colorado School of MinesUnited StatesCoursesEnquire","5,437","17.7","11%","27 : 73"
"251-300","Copenhagen Business SchoolDenmarkCoursesVerify Documents","19,154","42.9","21%","48 : 52"
"251-300","Dalhousie UniversityCanadaCoursesEnquire","15,293","14.9","19%","55 : 45"
"251-300","Deakin UniversityAustraliaCoursesEnquire","34,968","31.1","17%","59 : 41"
"251-300","Free University of Bozen-BolzanoItalyCourses","2,813","4.1","16%","67 : 33"
"251-300","University of FribourgSwitzerlandCourses","10,701","46.2","18%","58 : 42"
"251-300","Griffith UniversityAustraliaCoursesExplore","31,031","22.3","20%","56 : 44"
"251-300","University of HohenheimGermanyCoursesVerify Documents","9,524","42.1","13%","57 : 43"
"251-300","James Cook UniversityAustraliaCoursesEnquire","12,004","22.9","13%","63 : 37"
"251-300","Johannes Gutenberg University of MainzGermanyCourses","35,215","31.5","10%","58 : 42"
"251-300","Koç UniversityTurkeyCourses","4,793","14.6","9%","52 : 48"
"251-300","Université LavalCanadaCoursesExplore","28,757","16.9","12%","57 : 43"
"251-300","Macquarie UniversityAustraliaCoursesExplore","27,532","32.8","24%","55 : 45"
"251-300","University of MarburgGermanyCourses","26,085","39.0","9%","56 : 44"
"251-300","Mines ParisTechFranceCourses","1,289","5.5","26%","29 : 71"
"251-300","National Tsing Hua UniversityTaiwanCourses","10,260","13.6","6%","33 : 67"
"251-300","Norwegian University of Science and TechnologyNorwayCoursesVerify Documents","22,031","18.3","11%","48 : 52"
"251-300","Oregon Health and Science UniversityUnited StatesCoursesEnquire","2,861","1.1","2%","65 : 35"
"251-300","Osaka UniversityJapanCourses","23,087","7.6","9%","30 : 70"
"251-300","University of OttawaCanadaCoursesEnquireExplore","34,946","25.3","15%","60 : 40"
"251-300","Rensselaer Polytechnic InstituteUnited StatesCoursesEnquireAdmissions Support","6,829","15.5","17%","31 : 69"
"251-300","Ruhr University BochumGermanyCourses","42,718","61.2","13%","49 : 51"
"251-300","Rush UniversityUnited StatesCoursesEnquire","1,987","2.2","3%","71 : 29"
"251-300","Sapienza University of RomeItalyCourses","115,327","31.8","7%","59 : 41"
"251-300","University of South AustraliaAustraliaCoursesEnquire","19,996","29.6","33%","57 : 43"
"251-300","University of Southern DenmarkDenmarkCourses","25,313","13.5","16%","53 : 47"
"251-300","University of SurreyUnited KingdomCoursesExplore","10,377","13.3","38%","54 : 46"
"251-300","Swedish University of Agricultural SciencesSwedenCoursesVerify Documents","3,838","4.6","%","68 : 32"
"251-300","Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support","19,930","16.1","17%","54 : 46"
"251-300","University of São PauloBrazilCourses","83,201","14.7","4%","48 : 52"
"251-300","University of TampereFinlandCourses","9,530","21.7","5%","66 : 34"
"251-300","The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire","26,988","17.8","4%","n/a"
"251-300","Tokyo Institute of TechnologyJapanCourses","9,587","7.4","13%","13 : 87"
"251-300","Umeå UniversitySwedenCourses","16,698","11.7","10%","60 : 40"
"251-300","TU WienAustriaCourses","17,620","35.8","27%","29 : 71"
"251-300","Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore","30,850","18.1","10%","42 : 58"
"251-300","William & MaryUnited StatesCoursesEnquireAdmissions Support","7,963","11.9","8%","55 : 45"
"251-300","University of WollongongAustraliaCoursesExplore","16,581","25.5","24%","50 : 50"
"251-300","Yonsei UniversitySouth KoreaCourses","22,469","11.9","20%","n/a"
"301-350","Aberystwyth UniversityUnited KingdomCoursesEnquire","8,735","17.1","18%","47 : 53"
"301-350","Aix-Marseille UniversityFranceCourses","74,345","19.6","13%","60 : 40"
"301-350","University of Alaska FairbanksUnited StatesCoursesEnquire","3,875","8.4","7%","52 : 48"
"301-350","Anglia Ruskin University ARUUnited KingdomCoursesEnquire","16,740","24.5","25%","61 : 39"
"301-350","Bangor UniversityUnited KingdomCoursesEnquire","9,162","18.3","21%","55 : 45"
