"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","19,718","10.9","35%","46 : 54"
"2","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","2,181","6.7","27%","31 : 69"
"3","Stanford UniversityUnited StatesCoursesExplore","15,658","7.7","22%","42 : 58"
"4","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","18,605","11.3","35%","45 : 55"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","11,192","8.8","33%","37 : 63"
"6","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","19,890","8.8","25%","n/a"
"7","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","7,925","8.4","23%","45 : 55"
"8","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","15,236","11.3","52%","37 : 63"
"9","ETH ZurichSwitzerlandCourses","18,616","14.9","37%","31 : 69"
"=10","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","34,834","12.0","16%","52 : 48"
"=10","The University of ChicagoUnited StatesCoursesExplore","13,486","6.2","24%","42 : 58"
"12","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","11,946","4.4","21%","49 : 51"
"13","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","20,367","6.5","20%","51 : 49"
"14","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","38,392","9.9","16%","53 : 47"
"15","UCLUnited KingdomCoursesEnquireAdmissions Support","28,602","10.6","47%","56 : 44"
"16","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","25,659","6.0","30%","n/a"
"17","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","15,303","3.5","24%","51 : 49"
"18","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","15,204","4.8","17%","49 : 51"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","21,593","9.9","19%","49 : 51"
"20","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","18,570","14.0","16%","48 : 52"
"21","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","41,912","8.8","16%","48 : 52"
"22","University of TorontoCanadaCoursesEnquireExplore","68,093","18.8","16%","n/a"
"23","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","12,311","13.2","38%","38 : 62"
"24","National University of SingaporeSingaporeCoursesExplore","31,111","16.7","32%","50 : 50"
"=25","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","9,401","11.8","70%","53 : 47"
"=25","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","45,162","11.9","15%","53 : 47"
"27","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","25,279","12.6","37%","59 : 41"
"28","Karolinska InstituteSwedenCoursesVerify Documents","7,723","11.3","23%","69 : 31"
"29","Peking UniversityChinaCoursesExplore","42,977","8.8","15%","48 : 52"
"=30","LMU MunichGermanyCoursesExplore","36,180","15.7","14%","61 : 39"
"=30","École Polytechnique Fédérale de LausanneSwitzerlandCourses","9,750","11.2","54%","27 : 73"
"32","New York UniversityUnited StatesCoursesEnquireAdmissions Support","43,021","6.6","25%","55 : 45"
"=33","Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","19,847","19.8","26%","31 : 69"
"=33","University of MelbourneAustraliaCoursesEnquire","42,273","24.8","37%","55 : 45"
"35","Tsinghua UniversityChinaCoursesExplore","41,537","14.1","10%","32 : 68"
"=36","University of British ColumbiaCanadaCoursesEnquire","51,889","18.2","29%","54 : 46"
"=36","University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support","43,202","18.3","22%","46 : 54"
"=36","King’s College LondonUnited KingdomCoursesAdmissions Support","21,986","11.3","38%","61 : 39"
"39","The University of TokyoJapanCourses","26,080","7.0","10%","n/a"
"40","KU LeuvenBelgiumCoursesExplore","46,381","41.9","16%","49 : 51"
"41","University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","28,416","6.6","14%","47 : 53"
"42","McGill UniversityCanadaCoursesEnquire","30,911","13.5","24%","57 : 43"
"=43","Heidelberg UniversityGermanyCourses","29,527","24.9","17%","55 : 45"
"=43","University of Hong KongHong KongCoursesExplore","20,095","17.8","39%","51 : 49"
"45","University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support","40,048","11.0","12%","51 : 49"
"46","Technical University of MunichGermanyCoursesVerify Documents","36,929","51.9","22%","33 : 67"
"47","Australian National UniversityAustraliaCoursesEnquire","15,402","19.9","35%","52 : 48"
"48","University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","22,267","27.4","12%","51 : 49"
"49","The Hong Kong University of Science and TechnologyHong KongCoursesExplore","11,960","27.3","38%","n/a"
"50","University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support","48,689","17.2","10%","51 : 49"
"=51","Brown UniversityUnited StatesCoursesEnquireAdmissions Support","8,694","10.2","20%","n/a"
"=51","University of California, DavisUnited StatesCoursesEnquireAdmissions Support","36,060","13.7","15%","55 : 45"
"53","University of MinnesotaUnited StatesCoursesEnquire","46,625","17.5","13%","52 : 48"
"54","Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,278","16.1","32%","49 : 51"
"55","University of ManchesterUnited KingdomCoursesEnquireExplore","34,015","14.4","36%","52 : 48"
"56","University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support","26,412","7.5","8%","57 : 43"
"=57","Humboldt University of BerlinGermanyCourses","31,043","54.8","17%","n/a"
"=57","Washington University in St LouisUnited StatesCoursesExplore","12,528","5.7","17%","n/a"
"59","Delft University of TechnologyNetherlandsCoursesVerify Documents","16,174","18.9","25%","27 : 73"
"=60","The University of QueenslandAustraliaCoursesExplore","38,892","35.4","25%","55 : 45"
"=60","University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support","38,466","13.6","23%","52 : 48"
"=60","University of SydneyAustraliaCourses","42,678","19.0","29%","57 : 43"
"63","University of AmsterdamNetherlandsCoursesExplore","25,344","14.3","10%","58 : 42"
"64","Boston UniversityUnited StatesCoursesEnquireAdmissions Support","24,714","8.4","19%","59 : 41"
"65","Wageningen University & ResearchNetherlandsCourses","9,535","15.6","23%","56 : 44"
"66","École Normale SupérieureFranceCourses","1,548","9.6","18%","40 : 60"
"67","University of Maryland, College ParkUnited StatesCoursesEnquire","31,353","16.8","9%","48 : 52"
"68","Penn State (Main campus)United StatesCoursesEnquire","45,359","12.3","13%","46 : 54"
"69","Erasmus University RotterdamNetherlandsCoursesExplore","21,854","20.6","19%","49 : 51"
"70","Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support","38,788","17.7","22%","42 : 58"
"71","University of BristolUnited KingdomCoursesAdmissions Support","18,544","13.6","25%","52 : 48"
"=72","Ohio State University (Main campus)United StatesCoursesEnquire","52,497","12.8","12%","49 : 51"
"=72","Seoul National UniversitySouth KoreaCourses","26,777","13.1","11%","n/a"
"74","Monash UniversityAustraliaCoursesEnquire","44,217","34.5","25%","57 : 43"
"75","Free University of BerlinGermanyCoursesVerify Documents","32,909","53.9","21%","58 : 42"
"76","Chinese University of Hong KongHong KongCoursesExplore","18,433","10.5","27%","n/a"
"77","Leiden UniversityNetherlandsCoursesExplore","23,597","17.8","11%","59 : 41"
"=78","UNSW SydneyAustraliaCoursesExplore","39,121","26.3","32%","46 : 54"
"=78","RWTH Aachen UniversityGermanyCourses","42,298","54.9","17%","32 : 68"
"=80","University of GroningenNetherlandsCoursesExplore","25,281","24.4","13%","52 : 48"
"=80","University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support","26,501","5.9","10%","51 : 49"
"=82","Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support","6,109","6.7","15%","47 : 53"
"=82","Emory UniversityUnited StatesCoursesEnquireAdmissions Support","12,649","4.4","19%","57 : 43"
"=82","Technical University of BerlinGermanyCourses","20,548","60.3","19%","34 : 66"
"=82","University of WarwickUnited KingdomCoursesEnquireAdmissions Support","18,558","14.6","38%","47 : 53"
"86","Utrecht UniversityNetherlandsCoursesExplore","31,142","15.6","7%","59 : 41"
"87","Rice UniversityUnited StatesCoursesEnquireAdmissions Support","6,447","9.0","27%","43 : 57"
"88","University of GlasgowUnited KingdomCoursesExplore","22,856","15.3","32%","57 : 43"
"=89","Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses","9,327","9.5","9%","20 : 80"
"=89","University of TübingenGermanyCoursesVerify Documents","28,074","37.3","11%","58 : 42"
"=91","University of HelsinkiFinlandCourses","23,369","17.0","6%","65 : 35"
"=91","Kyoto UniversityJapanCourses","22,547","5.5","7%","n/a"
"93","Uppsala UniversitySwedenCoursesVerify Documents","25,275","16.6","12%","57 : 43"
"94","Maastricht UniversityNetherlandsCoursesExplore","16,030","18.3","47%","58 : 42"
"95","University of FreiburgGermanyCourses","25,890","33.7","16%","52 : 48"
"=96","Durham UniversityUnited KingdomCoursesEnquireAdmissions Support","15,705","15.3","26%","54 : 46"
"=96","Lund UniversitySwedenCoursesVerify Documents","28,852","12.0","15%","53 : 47"
"=98","Aarhus UniversityDenmarkCourses","24,633","13.9","14%","55 : 45"
"=98","University of BaselSwitzerlandCourses","12,560","17.4","24%","54 : 46"
"=98","University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","29,304","17.2","18%","53 : 47"
"101","Michigan State UniversityUnited StatesCoursesEnquire","45,297","15.8","16%","51 : 49"
"102","University of MannheimGermanyCoursesVerify Documents","10,808","84.0","14%","55 : 45"
"103","University of MontrealCanadaCoursesExplore","37,651","20.2","24%","58 : 42"
"=104","Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support","15,726","8.6","15%","54 : 46"
"=104","Pohang University of Science and Technology (POSTECH)South KoreaCourses","3,017","10.0","4%","22 : 78"
"106","University of ZurichSwitzerlandCourses","26,042","6.1","18%","57 : 43"
"107","University of AlbertaCanadaCoursesEnquire","33,159","21.1","24%","55 : 45"
"108","Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support","12,161","3.1","9%","52 : 48"
"109","University of SheffieldUnited KingdomCoursesEnquire","23,961","15.3","33%","50 : 50"
"=110","University of BernSwitzerlandCourses","14,651","23.3","14%","55 : 45"
"=110","University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support","8,453","12.2","46%","57 : 43"
"112","University of GöttingenGermanyCoursesVerify Documents","26,549","26.1","12%","50 : 50"
"=113","University of BonnGermanyCoursesVerify Documents","33,939","73.3","13%","55 : 45"
"=113","McMaster UniversityCanadaCoursesExplore","23,943","20.4","16%","52 : 48"
"=113","Queen Mary University of LondonUnited KingdomCourses","14,502","13.2","42%","52 : 48"
