"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","20,774","11.1","41%","46 : 54"
"2","Stanford UniversityUnited StatesCoursesExplore","16,223","7.4","23%","44 : 56"
"3","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","21,261","9.3","25%","49 : 51"
"4","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","2,238","6.3","33%","36 : 64"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","11,276","8.4","34%","39 : 61"
"6","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","19,370","11.0","38%","47 : 53"
"7","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","39,918","19.8","17%","51 : 49"
"8","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","12,910","6.0","20%","50 : 50"
"9","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","8,091","8.0","23%","46 : 54"
"10","The University of ChicagoUnited StatesCoursesExplore","14,292","5.9","31%","46 : 54"
"11","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","17,176","11.6","58%","39 : 61"
"12","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","16,432","4.4","27%","52 : 48"
"13","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","20,771","6.4","21%","52 : 48"
"14","ETH ZurichSwitzerlandCourses","19,632","13.1","40%","32 : 68"
"15","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","41,673","10.0","17%","55 : 45"
"16","UCLUnited KingdomCoursesEnquireAdmissions Support","34,590","10.8","55%","57 : 43"
"17","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","27,384","5.7","39%","n/a"
"18","University of TorontoCanadaCoursesEnquireExplore","74,502","20.0","22%","59 : 41"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","23,016","10.2","25%","50 : 50"
"=20","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","15,489","4.3","21%","49 : 51"
"=20","Tsinghua UniversityChinaCoursesExplore","37,484","11.6","13%","34 : 66"
"22","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","43,873","8.3","17%","50 : 50"
"23","Peking UniversityChinaCoursesExplore","38,583","11.1","16%","43 : 57"
"24","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","18,529","13.0","19%","49 : 51"
"25","National University of SingaporeSingaporeCoursesExplore","30,943","18.0","26%","50 : 50"
"26","New York UniversityUnited StatesCoursesEnquireAdmissions Support","44,474","8.8","34%","57 : 43"
"27","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","10,660","12.0","72%","54 : 46"
"28","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","14,058","13.7","48%","43 : 57"
"29","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","46,258","10.7","17%","53 : 47"
"30","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","30,649","12.1","42%","60 : 40"
"31","University of MelbourneAustraliaCoursesEnquire","50,094","27.0","48%","57 : 43"
"32","LMU MunichGermanyCoursesExplore","34,249","33.6","17%","61 : 39"
"33","University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","34,232","12.0","30%","47 : 53"
"34","University of British ColumbiaCanadaCoursesEnquire","53,123","18.7","32%","55 : 45"
"35","King’s College LondonUnited KingdomCoursesAdmissions Support","27,400","12.4","46%","62 : 38"
"=36","Karolinska InstituteSwedenCoursesVerify Documents","7,696","8.8","26%","68 : 32"
"=36","The University of TokyoJapanCourses","25,935","10.6","13%","n/a"
"38","Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","26,043","23.6","27%","33 : 67"
"39","University of Hong KongHong KongCoursesExplore","18,135","18.2","43%","54 : 46"
"40","McGill UniversityCanadaCoursesEnquire","31,578","12.8","31%","59 : 41"
"41","Technical University of MunichGermanyCoursesVerify Documents","32,377","39.8","31%","36 : 64"
"42","Heidelberg UniversityGermanyCourses","20,020","14.5","18%","54 : 46"
"43","École Polytechnique Fédérale de LausanneSwitzerlandCourses","10,942","12.2","60%","29 : 71"
"44","University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support","49,510","16.9","10%","52 : 48"
"45","KU LeuvenBelgiumCoursesExplore","45,617","36.1","15%","50 : 50"
"46","Paris Sciences et Lettres – PSL Research University ParisFranceCourses","20,701","14.7","24%","46 : 54"
"47","Nanyang Technological University, SingaporeSingaporeCoursesExplore","23,902","14.8","25%","48 : 52"
"48","University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support","45,980","17.8","24%","48 : 52"
"49","University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support","39,451","9.8","13%","n/a"
"50","Washington University in St LouisUnited StatesCoursesExplore","13,693","7.5","21%","n/a"
"=51","University of ManchesterUnited KingdomCoursesEnquireExplore","36,557","14.4","41%","53 : 47"
"=51","University of SydneyAustraliaCourses","46,453","19.4","43%","58 : 42"
"53","University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support","41,953","13.0","23%","49 : 51"
"=54","Boston UniversityUnited StatesCoursesEnquireAdmissions Support","26,510","11.1","28%","59 : 41"
"=54","Kyoto UniversityJapanCourses","22,935","9.3","11%","25 : 75"
"=56","Chinese University of Hong KongHong KongCoursesExplore","18,675","19.3","33%","n/a"
"=56","The Hong Kong University of Science and TechnologyHong KongCoursesExplore","9,976","21.6","30%","n/a"
"=56","University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support","30,956","8.2","8%","58 : 42"
"59","Australian National UniversityAustraliaCoursesEnquire","18,801","17.8","47%","53 : 47"
"60","Seoul National UniversitySouth KoreaCourses","26,757","15.1","11%","n/a"
"61","Brown UniversityUnited StatesCoursesEnquireAdmissions Support","9,695","10.8","20%","n/a"
