Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
69,Erasmus University RotterdamNetherlandsCoursesExplore,"21,854",20.6,19%,49:51:00
70,Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support,"38,788",17.7,22%,42:58:00
71,University of BristolUnited KingdomCoursesAdmissions Support,"18,544",13.6,25%,52:48:00
72,Ohio State University (Main campus)United StatesCoursesEnquire,"52,497",12.8,12%,49:51:00
73,Seoul National UniversitySouth KoreaCourses,"26,777",13.1,11%,n/a
74,Monash UniversityAustraliaCoursesEnquire,"44,217",34.5,25%,57:43:00
75,Free University of BerlinGermanyCoursesVerify Documents,"32,909",53.9,21%,58:42:00
76,Chinese University of Hong KongHong KongCoursesExplore,"18,433",10.5,27%,n/a
77,Leiden UniversityNetherlandsCoursesExplore,"23,597",17.8,11%,59:41:00
78,UNSW SydneyAustraliaCoursesExplore,"39,121",26.3,32%,46:54:00
79,RWTH Aachen UniversityGermanyCourses,"42,298",54.9,17%,32 : 68
80,University of GroningenNetherlandsCoursesExplore,"25,281",24.4,13%,52:48:00
81,University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support,"26,501",5.9,10%,51:49:00
82,Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support,"6,109",6.7,15%,47:53:00
83,Emory UniversityUnited StatesCoursesEnquireAdmissions Support,"12,649",4.4,19%,57:43:00
84,Technical University of BerlinGermanyCourses,"20,548",60.3,19%,34 : 66
85,University of WarwickUnited KingdomCoursesEnquireAdmissions Support,"18,558",14.6,38%,47:53:00
86,Utrecht UniversityNetherlandsCoursesExplore,"31,142",15.6,7%,59:41:00
87,Rice UniversityUnited StatesCoursesEnquireAdmissions Support,"6,447",9,27%,43:57:00
88,University of GlasgowUnited KingdomCoursesExplore,"22,856",15.3,32%,57:43:00
89,Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses,"9,327",9.5,9%,0.888888889
