Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,94.5,92.1,97.2,97.9,88,82.5
3,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,94.4,91.4,98.7,95.8,59.3,95
4,Stanford UniversityUnited StatesCoursesExplore,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,93.6,90.5,92.4,99.5,86.9,89
6,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,93,89.2,98.6,99.1,47.3,76.3
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,91.7,92,94.8,97.3,52.4,68.7
9,The University of ChicagoUnited StatesCoursesExplore,90.2,89.1,91.4,96.7,52.7,76
10,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,89.8,84.5,87.6,97,69.9,97.1
11,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,89.6,87.5,90.4,98.2,74,65
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,89.2,81.7,91.4,98.3,91.3,73.2
13,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support",88.3,83,90.6,99.2,46.1,70.4
14,ETH ZurichSwitzerlandCourses,88.3,81.8,92.8,90.3,56.8,98.2
15,UCLUnited KingdomCoursesEnquireAdmissions Support,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,87,85.6,82.6,98.2,44.8,79.3
17,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support",86.8,83.1,88.6,97.3,51.3,64.1
18,University of TorontoCanadaCoursesEnquireExplore,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,85.1,79.7,86,96.6,37.1,73.4
20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,84,82.4,76.8,97,99.9,61.5
21,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,83.8,79.4,86.1,94.9,47.7,59.2
22,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,83.5,74.2,83.8,97.8,78.4,64.1
23,Tsinghua UniversityChinaCoursesExplore,82.6,86.6,94,74.6,100,47.4
24,Peking UniversityChinaCoursesExplore,82.3,89.1,90,73.2,86.6,59.6
25,National University of SingaporeSingaporeCoursesExplore,81.9,76.8,90.4,76.9,58.8,95.5
26,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,81.6,72.2,82.2,98.6,47.5,60.4
27,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,81.3,65.9,82.7,98.2,50.5,80.6
28,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,81.3,69,83,92.8,35.1,93.2
29,New York UniversityUnited StatesCoursesEnquireAdmissions Support,81.1,76.8,77.5,96.5,38.7,65.4
30,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,79.4,67.3,74.1,96.4,38.9,93.8
31,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support",78.8,62.6,78.9,97.7,90.3,63.7
32,LMU MunichGermanyCoursesExplore,77.8,68.4,77,88.8,100,67.2
33,University of MelbourneAustraliaCoursesEnquire,77.8,65.9,74.1,89.8,76.3,93.1
34,University of British ColumbiaCanadaCoursesEnquire,76.3,61.5,73.2,92.5,43.8,94.4
35,University of Hong KongHong KongCoursesExplore,75.9,69.5,77.2,76.6,59.7,98.6
36,King’s College LondonUnited KingdomCoursesAdmissions Support,75.7,61.3,68.5,94.8,45.6,95.6
37,The University of TokyoJapanCourses,75.7,85.9,89.6,60.7,77.4,38.2
38,École Polytechnique Fédérale de LausanneSwitzerlandCourses,75.4,66.6,66.3,88.3,66.4,98.6
39,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,75.4,60.2,76.4,90.4,61.6,77.1
40,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,75.4,68.2,76.2,93.2,46.6,39.1
41,Karolinska InstituteSwedenCoursesVerify Documents,74.7,55.4,71.4,96.1,71.2,81.2
42,McGill UniversityCanadaCoursesEnquire,74.3,65,71.9,84.7,42.8,90.4
43,Technical University of MunichGermanyCoursesVerify Documents,74.1,64.6,70.4,85.5,100,72.9
44,Heidelberg UniversityGermanyCourses,73.5,67.1,60.3,96.2,54.6,67.5
