Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"20,664",11.2,41%,46:54:00
2,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,240",6.4,30%,34 : 66
3,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"18,978",10.9,37%,47:53:00
4,Stanford UniversityUnited StatesCoursesExplore,"16,135",7.3,23%,43:57:00
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,247",8.6,34%,39 : 61
6,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"7,983",8.1,25%,45:55:00
7,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"20,823",9.2,24%,49:51:00
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"12,402",5.4,20%,50:50:00
9,The University of ChicagoUnited StatesCoursesExplore,"13,833",5.7,28%,46:54:00
10,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"16,760",11.7,56%,38 : 62
11,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,578",6.5,21%,52:48:00
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"16,171",4.5,26%,52:48:00
13,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","41,081",13.7,17%,50:50:00
14,ETH ZurichSwitzerlandCourses,"18,956",12.5,39%,32 : 68
15,UCLUnited KingdomCoursesEnquireAdmissions Support,"32,665",10.6,52%,57:43:00
16,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"26,586",5.8,37%,n/a
17,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","41,066",9.4,17%,54:46:00
18,University of TorontoCanadaCoursesEnquireExplore,"73,370",20.1,21%,59:41:00
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"22,319",9.8,25%,49:51:00
20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,309",4.3,19%,49:51:00
21,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"42,982",8.3,17%,49:51:00
22,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"17,951",12.8,20%,49:51:00
23,Tsinghua UniversityChinaCoursesExplore,"38,783",12,11%,34 : 66
24,Peking UniversityChinaCoursesExplore,"39,575",11.5,15%,46:54:00
25,National University of SingaporeSingaporeCoursesExplore,"30,869",17.9,28%,51:49:00
26,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"45,692",11.1,16%,53:47:00
27,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"13,430",13.6,48%,41:59:00
28,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"10,570",12.1,71%,53:47:00
29,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"44,466",8.9,33%,57:43:00
30,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"29,433",12.8,41%,60:40:00
31,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","33,579",13,23%,46:54:00
32,LMU MunichGermanyCoursesExplore,"34,519",34.7,17%,61:39:00
