Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"20,298",11,40%,46:54:00
2,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"18,749",10.9,37%,46:54:00
3,Stanford UniversityUnited StatesCoursesExplore,"15,878",7.4,23%,43:57:00
4,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,231",8.7,34%,38 : 62
5,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,255",6.5,29%,33 : 67
6,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"20,595",9.1,26%,48:52:00
7,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"7,996",8.2,24%,45:55:00
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"12,318",5.2,20%,50:50:00
9,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"16,425",11.7,56%,38 : 62
10,The University of ChicagoUnited StatesCoursesExplore,"13,562",6.1,25%,44:56:00
11,ETH ZurichSwitzerlandCourses,"18,171",12.3,39%,31 : 69
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"16,146",4.6,25%,52:48:00
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,443",6.4,20%,52:48:00
14,UCLUnited KingdomCoursesEnquireAdmissions Support,"31,696",10.6,51%,57:43:00
15,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","36,468",13.2,17%,51:49:00
16,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"26,586",6,37%,n/a
17,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","39,464",9.2,17%,53:47:00
18,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,037",4.4,18%,48:52:00
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"21,904",9.8,25%,49:51:00
20,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"41,831",8.3,17%,48:52:00
21,University of TorontoCanadaCoursesEnquireExplore,"72,202",19,19%,n/a
22,Tsinghua UniversityChinaCoursesExplore,"36,912",11.9,11%,34 : 66
23,National University of SingaporeSingaporeCoursesExplore,"30,727",17.4,28%,50:50:00
24,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"13,033",13.3,47%,40 : 60
25,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"17,600",13,19%,48:52:00
26,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"10,028",11.8,70%,52:48:00
27,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"44,433",8.9,32%,56:44:00
28,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"45,476",11.3,16%,53:47:00
29,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"28,153",12.7,41%,60:40:00
30,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","31,687",12.9,20%,46:54:00
31,Peking UniversityChinaCoursesExplore,"42,547",8.9,17%,48:52:00
32,LMU MunichGermanyCoursesExplore,"35,389",36,16%,61:39:00
33,University of MelbourneAustraliaCoursesEnquire,"45,030",26.6,42%,56:44:00
34,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"21,903",21.5,27%,32 : 68
35,École Polytechnique Fédérale de LausanneSwitzerlandCourses,"10,343",11.4,57%,28 : 72
36,University of Hong KongHong KongCoursesExplore,"18,122",18.1,43%,54:46:00
37,University of British ColumbiaCanadaCoursesEnquire,"53,566",18.6,30%,54:46:00
38,King’s College LondonUnited KingdomCoursesAdmissions Support,"24,293",12.1,42%,62:38:00
39,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,"48,561",17.1,10%,51:49:00
40,Karolinska InstituteSwedenCoursesVerify Documents,"7,898",9.2,19%,68:32:00
41,The Hong Kong University of Science and TechnologyHong KongCoursesExplore,"10,394",23.6,31%,n/a
42,Paris Sciences et Lettres – PSL Research University ParisFranceCourses,"20,722",11.3,26%,44:56:00
43,The University of TokyoJapanCourses,"25,828",7.6,11%,n/a
44,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,"39,193",10.5,12%,n/a
45,McGill UniversityCanadaCoursesEnquire,"31,060",13,28%,58:42:00
46,Technical University of MunichGermanyCoursesVerify Documents,"39,726",50.6,24%,34 : 66
47,Heidelberg UniversityGermanyCourses,"20,953",16.6,17%,54:46:00
48,KU LeuvenBelgiumCoursesExplore,"44,719",36.5,15%,49:51:00
49,Australian National UniversityAustraliaCoursesEnquire,"16,840",18.5,39%,52:48:00
50,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,"43,908",17.9,24%,47:53:00
51,"Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,738",16.7,28%,48:52:00
52,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","23,457",27.9,16%,52:48:00
53,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,"9,082",10.7,21%,n/a
54,Chinese University of Hong KongHong KongCoursesExplore,"17,883",18.4,33%,n/a
55,Washington University in St LouisUnited StatesCoursesExplore,"13,074",7.3,20%,n/a
56,University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support,"34,226",9.4,8%,57:43:00
57,University of ManchesterUnited KingdomCoursesEnquireExplore,"36,530",14.5,39%,53:47:00
58,Delft University of TechnologyNetherlandsCoursesVerify Documents,"17,880",20,29%,28 : 72
59,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support","37,847",13.5,13%,57:43:00
60,University of SydneyAustraliaCourses,"43,333",20.5,35%,58:42:00
61,Wageningen University & ResearchNetherlandsCourses,"13,214",20.9,29%,55:45:00
62,University of AmsterdamNetherlandsCoursesExplore,"23,778",12.3,12%,56:44:00
63,Seoul National UniversitySouth KoreaCourses,"26,066",12.3,12%,n/a
64,Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support,"39,409",17,23%,42:58:00
65,Kyoto UniversityJapanCourses,"22,420",8.8,8%,24 : 76
66,University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support,"35,510",11.6,25%,53:47:00
67,Humboldt University of BerlinGermanyCourses,"33,000",59,17%,n/a
68,Leiden UniversityNetherlandsCoursesExplore,"26,321",18,13%,57:43:00
69,The University of QueenslandAustraliaCoursesExplore,"38,187",34.4,31%,55:45:00
70,Erasmus University RotterdamNetherlandsCoursesExplore,"22,019",19.6,22%,50:50:00
71,University of MinnesotaUnited StatesCoursesEnquire,"60,620",12.3,11%,52:48:00
72,Ohio State University (Main campus)United StatesCoursesEnquire,"53,540",12.8,12%,49:51:00
73,Sorbonne UniversityFranceCourses,"42,681",14.3,19%,59:41:00
74,Boston UniversityUnited StatesCoursesEnquireAdmissions Support,"25,095",8.4,27%,60:40:00
75,Utrecht UniversityNetherlandsCoursesExplore,"31,551",14.3,7%,59:41:00
76,University of FreiburgGermanyCourses,"22,005",44.5,22%,55:45:00
77,McMaster UniversityCanadaCoursesExplore,"24,602",27.3,16%,53:47:00
78,University of BristolUnited KingdomCoursesAdmissions Support,"20,570",13.2,27%,53:47:00
79,University of GroningenNetherlandsCoursesExplore,"26,183",23.8,18%,52:48:00
80,University of WarwickUnited KingdomCoursesEnquireAdmissions Support,"19,649",13.3,41%,50:50:00
81,Penn State (Main campus)United StatesCoursesEnquire,"45,704",15,15%,46:54:00
82,"University of Maryland, College ParkUnited StatesCoursesEnquire","32,099",16.2,10%,47:53:00
83,Sungkyunkwan University (SKKU)South KoreaCoursesExplore,"23,359",19.5,14%,42:58:00
84,Emory UniversityUnited StatesCoursesEnquireAdmissions Support,"12,647",4.2,20%,58:42:00
85,Monash UniversityAustraliaCoursesEnquire,"49,728",34.6,35%,57:43:00
86,Rice UniversityUnited StatesCoursesEnquireAdmissions Support,"6,554",8.9,28%,42:58:00
87,RWTH Aachen UniversityGermanyCourses,"44,517",61.8,19%,32 : 68
88,Uppsala UniversitySwedenCoursesVerify Documents,"25,061",16.9,14%,56:44:00
89,University of TübingenGermanyCoursesVerify Documents,"28,743",39.2,14%,58:42:00
90,Charité - Universitätsmedizin BerlinGermanyCourses,"6,943",17.5,19%,64:36:00
91,University of MontrealCanadaCoursesExplore,"37,311",20.3,23%,59:41:00
92,University of ZurichSwitzerlandCourses,"26,340",14.7,20%,57:43:00
93,University of Science and Technology of ChinaChinaCoursesExplore,"16,152",8.4,4%,n/a
94,University of GlasgowUnited KingdomCoursesExplore,"24,235",15.3,36%,58:42:00
95,Michigan State UniversityUnited StatesCoursesEnquire,"44,951",17,17%,51:49:00
96,"University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","31,089",16.7,24%,53:47:00
97,UNSW SydneyAustraliaCoursesExplore,"41,358",30.5,36%,47:53:00
98,Lund UniversitySwedenCoursesVerify Documents,"28,454",11.8,17%,54:46:00
99,Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support,"6,172",6.7,15%,48:52:00
100,University of HelsinkiFinlandCourses,"22,418",16.6,6%,65:35:00
101,Zhejiang UniversityChinaCoursesExplore,"36,031",10.9,18%,0.929861111
102,Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses,"9,587",10.4,9%,0.888888889
103,University of BaselSwitzerlandCourses,"12,852",18,27%,55:45:00
104,Free University of BerlinGermanyCoursesVerify Documents,"35,032",56.4,21%,59:41:00
105,Fudan UniversityChinaCourses,"34,393",12.2,11%,51:49:00
106,University of SheffieldUnited KingdomCoursesEnquire,"25,577",14.9,35%,50:50:00
107,University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support,"24,295",9.4,12%,53:47:00
108,École PolytechniqueFranceCoursesExplore,"2,908",5.6,36%,0.929861111
109,Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support,"15,801",8.5,17%,54:46:00
110,University of BernSwitzerlandCourses,"10,967",16.7,15%,56:44:00
111,University of BonnGermanyCoursesVerify Documents,"37,708",70.2,13%,55:45:00
112,City University of Hong KongHong KongCoursesExplore,"9,928",11.2,41%,57:43:00
113,University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support,"26,517",5.9,11%,52:48:00
114,University of Colorado BoulderUnited StatesCoursesEnquire,"31,625",15.5,12%,44:56:00
115,Durham UniversityUnited KingdomCoursesEnquireAdmissions Support,"16,565",14.8,30%,54:46:00
116,University of BirminghamUnited KingdomCoursesEnquire,"28,354",15.1,28%,56:44:00
117,University of CopenhagenDenmarkCourses,"32,157",4.4,16%,55:45:00
118,University of SouthamptonUnited KingdomCoursesEnquire,"24,078",13.9,36%,52:48:00
119,University of YorkUnited KingdomCoursesEnquire,"15,194",14.9,25%,56:44:00
