Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"20,774",11.1,41%,46:54:00
2,Stanford UniversityUnited StatesCoursesExplore,"16,223",7.4,23%,44:56:00
3,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"21,261",9.3,25%,49:51:00
4,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,238",6.3,33%,36 : 64
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,276",8.4,34%,39 : 61
6,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"19,370",11,38%,47:53:00
7,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","39,918",19.8,17%,51:49:00
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"12,910",6,20%,50:50:00
9,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"8,091",8,23%,46:54:00
10,The University of ChicagoUnited StatesCoursesExplore,"14,292",5.9,31%,46:54:00
11,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"17,176",11.6,58%,39 : 61
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"16,432",4.4,27%,52:48:00
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,771",6.4,21%,52:48:00
14,ETH ZurichSwitzerlandCourses,"19,632",13.1,40%,32 : 68
15,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","41,673",10,17%,55:45:00
16,UCLUnited KingdomCoursesEnquireAdmissions Support,"34,590",10.8,55%,57:43:00
17,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"27,384",5.7,39%,n/a
18,University of TorontoCanadaCoursesEnquireExplore,"74,502",20,22%,59:41:00
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"23,016",10.2,25%,50:50:00
20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,489",4.3,21%,49:51:00
21,Tsinghua UniversityChinaCoursesExplore,"37,484",11.6,13%,34 : 66
22,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"43,873",8.3,17%,50:50:00
23,Peking UniversityChinaCoursesExplore,"38,583",11.1,16%,43:57:00
24,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"18,529",13,19%,49:51:00
25,National University of SingaporeSingaporeCoursesExplore,"30,943",18,26%,50:50:00
26,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"44,474",8.8,34%,57:43:00
27,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"10,660",12,72%,54:46:00
28,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"14,058",13.7,48%,43:57:00
29,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"46,258",10.7,17%,53:47:00
30,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"30,649",12.1,42%,60:40:00
31,University of MelbourneAustraliaCoursesEnquire,"50,094",27,48%,57:43:00
32,LMU MunichGermanyCoursesExplore,"34,249",33.6,17%,61:39:00
