Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
33,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","34,232",12,30%,47:53:00
34,University of British ColumbiaCanadaCoursesEnquire,"53,123",18.7,32%,55:45:00
35,King’s College LondonUnited KingdomCoursesAdmissions Support,"27,400",12.4,46%,62:38:00
36,Karolinska InstituteSwedenCoursesVerify Documents,"7,696",8.8,26%,68:32:00
37,The University of TokyoJapanCourses,"25,935",10.6,13%,n/a
38,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"26,043",23.6,27%,33 : 67
39,University of Hong KongHong KongCoursesExplore,"18,135",18.2,43%,54:46:00
40,McGill UniversityCanadaCoursesEnquire,"31,578",12.8,31%,59:41:00
41,Technical University of MunichGermanyCoursesVerify Documents,"32,377",39.8,31%,36 : 64
42,Heidelberg UniversityGermanyCourses,"20,020",14.5,18%,54:46:00
43,École Polytechnique Fédérale de LausanneSwitzerlandCourses,"10,942",12.2,60%,29 : 71
44,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,"49,510",16.9,10%,52:48:00
45,KU LeuvenBelgiumCoursesExplore,"45,617",36.1,15%,50:50:00
46,Paris Sciences et Lettres – PSL Research University ParisFranceCourses,"20,701",14.7,24%,46:54:00
47,"Nanyang Technological University, SingaporeSingaporeCoursesExplore","23,902",14.8,25%,48:52:00
48,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,"45,980",17.8,24%,48:52:00
49,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,"39,451",9.8,13%,n/a
50,Washington University in St LouisUnited StatesCoursesExplore,"13,693",7.5,21%,n/a
51,University of ManchesterUnited KingdomCoursesEnquireExplore,"36,557",14.4,41%,53:47:00
52,University of SydneyAustraliaCourses,"46,453",19.4,43%,58:42:00
53,University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support,"41,953",13,23%,49:51:00
54,Boston UniversityUnited StatesCoursesEnquireAdmissions Support,"26,510",11.1,28%,59:41:00
55,Kyoto UniversityJapanCourses,"22,935",9.3,11%,25 : 75
56,Chinese University of Hong KongHong KongCoursesExplore,"18,675",19.3,33%,n/a
57,The Hong Kong University of Science and TechnologyHong KongCoursesExplore,"9,976",21.6,30%,n/a
58,University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support,"30,956",8.2,8%,58:42:00
59,Australian National UniversityAustraliaCoursesEnquire,"18,801",17.8,47%,53:47:00
60,Seoul National UniversitySouth KoreaCourses,"26,757",15.1,11%,n/a
61,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,"9,695",10.8,20%,n/a
62,The University of QueenslandAustraliaCoursesExplore,"40,389",35.5,38%,55:45:00
63,Wageningen University & ResearchNetherlandsCourses,"14,356",21,27%,54:46:00
64,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support","36,395",13.6,17%,58:42:00
65,Monash UniversityAustraliaCoursesEnquire,"57,406",41.7,43%,57:43:00
66,University of AmsterdamNetherlandsCoursesExplore,"24,747",12.8,24%,57:43:00
67,UNSW SydneyAustraliaCoursesExplore,"46,234",41,44%,47:53:00
68,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","24,780",28.2,18%,53:47:00
69,McMaster UniversityCanadaCoursesExplore,"25,285",30.5,18%,55:45:00
70,Fudan UniversityChinaCourses,"32,597",11.2,13%,52:48:00
71,Leiden UniversityNetherlandsCoursesExplore,"30,178",19,18%,59:41:00
72,Erasmus University RotterdamNetherlandsCoursesExplore,"26,453",26.8,22%,50:50:00
73,University of MontrealCanadaCoursesExplore,"36,774",20.2,21%,n/a
74,University of ZurichSwitzerlandCourses,"22,960",14.8,21%,57:43:00
75,Charité - Universitätsmedizin BerlinGermanyCourses,"7,431",17.4,20%,65:35:00
76,Utrecht UniversityNetherlandsCoursesExplore,"32,022",14,10%,58:42:00
77,University of WarwickUnited KingdomCoursesEnquireAdmissions Support,"21,777",13.3,41%,49:51:00
78,Delft University of TechnologyNetherlandsCoursesVerify Documents,"19,594",17.4,31%,30 : 70
79,University of TübingenGermanyCoursesVerify Documents,"27,590",36.6,14%,58:42:00
80,University of GroningenNetherlandsCoursesExplore,"28,392",23.9,23%,51:49:00
81,Humboldt University of BerlinGermanyCourses,"33,388",56.3,18%,n/a
82,Ohio State University (Main campus)United StatesCoursesEnquire,"54,650",12.1,13%,50:50:00
83,University of FreiburgGermanyCourses,"14,878",32.5,21%,54:46:00
84,University of CopenhagenDenmarkCourses,"30,746",4.2,17%,62:38:00
85,Emory UniversityUnited StatesCoursesEnquireAdmissions Support,"12,923",4,20%,59:41:00
86,University of MinnesotaUnited StatesCoursesEnquire,"61,994",12.4,11%,53:47:00
87,École PolytechniqueFranceCoursesExplore,"2,850",5.6,44%,1.011805556
88,University of Science and Technology of ChinaChinaCoursesExplore,"16,434",7.2,5%,n/a
89,Sorbonne UniversityFranceCourses,"43,585",12.8,20%,58:42:00
90,"University of Maryland, College ParkUnited StatesCoursesEnquire","33,671",16.6,11%,48:52:00
91,University of BristolUnited KingdomCoursesAdmissions Support,"22,981",14.5,28%,55:45:00
92,University of BaselSwitzerlandCourses,"9,229",12.3,30%,55:45:00
93,University of GlasgowUnited KingdomCoursesExplore,"26,533",14.7,38%,59:41:00
94,Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support,"41,573",16.3,22%,43:57:00
95,Zhejiang UniversityChinaCoursesExplore,"33,825",10.8,23%,1.011805556
96,Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses,"9,514",10.4,9%,0.888888889
97,National Taiwan University (NTU)TaiwanCoursesExplore,"24,880",9.9,12%,43:57:00
98,"University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","35,040",17.5,27%,52:48:00
99,University of HelsinkiFinlandCourses,"22,137",15.9,5%,66:34:00
100,Shanghai Jiao Tong UniversityChinaCoursesExplore,"38,556",11.9,11%,39 : 61
101,Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support,"6,336",7.6,15%,48:52:00
102,Sungkyunkwan University (SKKU)South KoreaCoursesExplore,"23,340",19.5,18%,43:57:00
103,Ghent UniversityBelgiumCoursesVerify Documents,"37,587",36.1,11%,56:44:00
104,Lund UniversitySwedenCoursesVerify Documents,"27,443",11.3,19%,55:45:00
105,Michigan State UniversityUnited StatesCoursesEnquire,"44,618",16.1,15%,51:49:00
106,Aarhus UniversityDenmarkCourses,"26,318",13.8,10%,55:45:00
107,University of BirminghamUnited KingdomCoursesEnquire,"30,193",14.8,30%,57:43:00
108,RWTH Aachen UniversityGermanyCourses,"45,256",58.4,23%,32 : 68
109,University of BernSwitzerlandCourses,"11,417",16.8,16%,57:43:00
110,Queen Mary University of LondonUnited KingdomCourses,"19,365",13.6,45%,55:45:00
111,Nanjing UniversityChinaCourses,"37,475",17.5,9%,49:51:00
112,Uppsala UniversitySwedenCoursesVerify Documents,"25,112",15.8,18%,58:42:00
113,Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support,"12,139",3,15%,54:46:00
114,University of BonnGermanyCoursesVerify Documents,"37,439",70.2,13%,56:44:00
115,Penn State (Main campus)United StatesCoursesEnquire,"46,682",11,15%,47:53:00
116,Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents,"25,443",18,13%,58:42:00
117,University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support,"24,879",9,13%,52:48:00
118,University of AdelaideAustraliaCoursesExplore,"21,054",30.7,29%,49:51:00
119,Free University of BerlinGermanyCoursesVerify Documents,"36,380",59.2,22%,59:41:00
120,Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support,"16,451",8.5,19%,55:45:00
121,Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support,"10,774",9.1,23%,50:50:00
122,Maastricht UniversityNetherlandsCoursesExplore,"17,326",18.4,54%,60:40:00
123,University of SheffieldUnited KingdomCoursesEnquire,"26,765",15.5,35%,52:48:00
124,University of ArizonaUnited StatesCoursesEnquire,"39,635",18,9%,52:48:00
125,Rice UniversityUnited StatesCoursesEnquireAdmissions Support,"6,805",9.2,28%,42:58:00
126,City University of Hong KongHong KongCoursesExplore,"9,510",10.8,51%,54:46:00
127,University of OsloNorwayCoursesVerify Documents,"20,737",12.2,17%,62:38:00
128,University of SouthamptonUnited KingdomCoursesEnquire,"23,498",14.3,35%,53:47:00
129,Hong Kong Polytechnic UniversityHong KongCoursesExplore,"22,778",25.4,27%,51:49:00
130,University of GöttingenGermanyCoursesVerify Documents,"30,894",28,13%,51:49:00
131,University of AlbertaCanadaCoursesEnquire,"32,846",21.5,27%,55:45:00
132,University of Colorado BoulderUnited StatesCoursesEnquire,"34,481",16.1,11%,44:56:00
133,University of Pittsburgh-Pittsburgh campusUnited StatesCoursesEnquireAdmissions Support,"26,761",5.7,11%,53:47:00
134,University of YorkUnited KingdomCoursesEnquire,"16,881",15,25%,57:43:00
135,University of HamburgGermanyCoursesExplore,"30,649",58.7,12%,57:43:00
136,Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support,"13,047",12.4,37%,51:49:00
137,Université de ParisFranceCoursesExplore,"63,219",17.7,18%,64:36:00
138,Radboud University NijmegenNetherlandsCoursesExplore,"20,752",17.3,16%,57:43:00
139,The University of Western AustraliaAustraliaCoursesEnquire,"18,253",22.5,29%,48:52:00
140,Indiana UniversityUnited StatesCoursesEnquire,"67,054",15,15%,51:49:00
141,University of MannheimGermanyCoursesVerify Documents,"10,593",78.3,18%,n/a
142,Technical University of BerlinGermanyCourses,"22,695",60.8,26%,34 : 66
143,Ulm UniversityGermanyCoursesVerify Documents,"10,503",28.4,13%,49:51:00
144,University of WürzburgGermanyCourses,"23,887",38.2,10%,56:44:00
145,University of CologneGermanyCoursesVerify Documents,"34,630",35,18%,n/a
146,University of OttawaCanadaCoursesEnquireExplore,"35,140",24.6,20%,58:42:00
147,University of AucklandNew ZealandCoursesExplore,"32,596",22.6,31%,56:44:00
148,University of RochesterUnited StatesCoursesEnquireAdmissions Support,"10,017",4.9,34%,49:51:00
149,Durham UniversityUnited KingdomCoursesEnquireAdmissions Support,"17,090",15.2,31%,55:45:00
150,University of GenevaSwitzerlandCourses,"17,271",16,38%,61:39:00
151,Pohang University of Science and Technology (POSTECH)South KoreaCourses,"3,034",9.7,3%,24 : 76
152,University of FloridaUnited StatesCoursesEnquireAdmissions Support,"46,632",16.1,9%,56:44:00
153,Pompeu Fabra UniversitySpainCoursesVerify Documents,"11,914",22.9,13%,60:40:00
154,TU DresdenGermanyCoursesVerify Documents,"31,103",32.9,15%,43:57:00
155,University of Cape TownSouth AfricaCoursesExplore,"21,647",11.7,17%,54:46:00
156,Trinity College DublinIrelandCoursesExplore,"17,154",21.4,32%,59:41:00
157,Tufts UniversityUnited StatesCoursesEnquireAdmissions Support,"11,024",9.7,16%,55:45:00
158,Bielefeld UniversityGermanyCourses,"24,890",71.5,8%,57:43:00
159,University of NottinghamUnited KingdomCoursesEnquire,"30,798",15,29%,54:46:00
160,University of LeedsUnited KingdomCoursesEnquire,"31,461",14.3,30%,60:40:00
161,University of SussexUnited KingdomCoursesEnquire,"16,259",15.8,37%,55:45:00
162,University of Technology SydneyAustraliaCoursesExplore,"26,529",41.7,36%,51:49:00
163,University of LiverpoolUnited KingdomCoursesEnquire,"25,168",14.6,33%,55:45:00
164,Université Catholique de LouvainBelgiumCoursesVerify Documents,"26,462",39.7,20%,53:47:00
165,University of ViennaAustriaCourses,"32,650",38.5,28%,65:35:00
166,"Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","44,264",11,17%,52:48:00
167,University of BolognaItalyCoursesExplore,"67,298",24.4,12%,56:44:00
168,Korea UniversitySouth KoreaCoursesExplore,"22,666",16.6,22%,n/a
169,University of Alabama at BirminghamUnited StatesCoursesExplore,"18,211",17.3,6%,63:37:00
170,University of AntwerpBelgiumCoursesVerify Documents,"15,272",31.2,17%,55:45:00
171,University of LeicesterUnited KingdomCoursesEnquire,"15,551",14.7,32%,53:47:00
172,University of Notre DameUnited StatesCoursesEnquireAdmissions Support,"12,149",10.9,12%,46:54:00
173,Sant’Anna School of Advanced Studies – PisaItalyCourses,661,10,20%,36 : 64
174,University of ExeterUnited KingdomCoursesExplore,"22,007",17,28%,54:46:00
175,Lomonosov Moscow State UniversityRussian FederationCourses,"28,525",8.4,32%,52:48:00
176,Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support,"20,711",14.1,36%,48:52:00
177,Ulsan National Institute of Science and Technology (UNIST)South KoreaCoursesExplore,"3,983",14.3,8%,27 : 73
178,University of AberdeenUnited KingdomCoursesEnquire,"12,863",16.6,42%,57:43:00
179,Newcastle UniversityUnited KingdomCoursesEnquireExplore,"24,089",14.6,27%,51:49:00
180,Paris-Saclay UniversityFranceCourses,"28,618",14.6,16%,55:45:00
181,Scuola Normale Superiore di PisaItalyCourses,557,6.7,11%,29 : 71
182,Autonomous University of BarcelonaSpainCoursesExplore,"31,284",12.5,17%,59:41:00
183,Stockholm UniversitySwedenCourses,"27,200",19.1,10%,n/a
184,Arizona State University (Tempe)United StatesCoursesExplore,"45,827",19.7,20%,43:57:00
185,University of CanberraAustraliaCoursesExplore,"10,304",37.4,35%,n/a
186,Queensland University of TechnologyAustraliaCoursesExplore,"35,555",42,17%,53:47:00
187,Eindhoven University of TechnologyNetherlandsCoursesExplore,"9,469",21.3,23%,n/a
188,George Washington UniversityUnited StatesCoursesEnquire,"23,788",13.4,17%,60:40:00
189,Technical University of DenmarkDenmarkCoursesVerify Documents,"9,412",6.7,25%,31 : 69
190,Yonsei University (Seoul campus)South KoreaCoursesExplore,"17,745",14.7,22%,48:52:00
191,Cardiff UniversityUnited KingdomCoursesEnquire,"25,898",14.1,28%,59:41:00
192,University of GothenburgSwedenCoursesVerify Documents,"19,616",9.8,13%,n/a
193,University of LausanneSwitzerlandCourses,"12,685",8.8,24%,n/a
194,Tel Aviv UniversityIsraelCourses,"22,635",22.3,7%,56:44:00
195,Macquarie UniversityAustraliaCoursesExplore,"29,835",65.5,29%,53:47:00
196,University of MünsterGermanyCoursesVerify Documents,"44,580",42.9,8%,n/a
197,Texas A&M UniversityUnited StatesCoursesExplore,"62,070",24.4,8%,47:53:00
198,University of BarcelonaSpainCoursesExplore,"45,494",15,11%,62:38:00
199,University of Erlangen-NurembergGermanyCourses,"38,052",57.3,12%,49:51:00
200,University of CalgaryCanadaCoursesEnquire,"31,863",17.6,21%,54:46:00
201,University of East AngliaUnited KingdomCoursesExplore,"15,757",13.8,27%,59:41:00
202,Queen’s University BelfastUnited KingdomCoursesExplore,"18,438",17.2,36%,56:44:00
203,Aalborg UniversityDenmarkCoursesExplore,"16,227",13.4,14%,n/a
204,Aalto UniversityFinlandCourses,"12,506",18.6,24%,37 : 63
205,University of BathUnited KingdomCoursesEnquireAdmissions Support,"14,410",16.2,33%,46:54:00
206,University of BergenNorwayCourses,"14,297",12.4,13%,60:40:00
207,Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support,"5,346",12.7,27%,58:42:00
208,"University of California, Santa CruzUnited StatesCoursesEnquire","19,457",23.8,12%,49:51:00
209,Chalmers University of TechnologySwedenCoursesVerify Documents,"8,325",11.9,17%,32 : 68
210,Copenhagen Business SchoolDenmarkCoursesVerify Documents,"16,312",30.7,25%,48:52:00
211,Curtin UniversityAustraliaCoursesExplore,"30,130",20.5,32%,52:48:00
212,University of Duisburg-EssenGermanyCoursesExplore,"42,744",53.6,19%,48:52:00
213,University of DundeeUnited KingdomCoursesEnquire,"12,247",17.5,22%,63:37:00
214,Griffith UniversityAustraliaCoursesExplore,"33,645",28.6,17%,58:42:00
215,University of Hawai’i at MānoaUnited StatesCoursesEnquire,"14,732",10.6,10%,57:43:00
216,Hebrew University of JerusalemIsraelCourses,"16,105",11.9,5%,57:43:00
217,University of HohenheimGermanyCoursesVerify Documents,"9,235",42.5,15%,57:43:00
218,Howard UniversityUnited StatesCoursesEnquire,"8,766",9.3,8%,67:33:00
219,University of IowaUnited StatesCoursesEnquire,"29,406",11.6,10%,53:47:00
220,James Cook UniversityAustraliaCoursesEnquire,"11,198",21,11%,64:36:00
221,Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents,"26,886",27.9,23%,28 : 72
222,King Abdulaziz UniversitySaudi ArabiaCoursesExplore,"31,869",7.8,22%,54:46:00
223,KTH Royal Institute of TechnologySwedenCoursesVerify Documents,"13,482",16.5,20%,33 : 67
224,La Trobe UniversityAustraliaCoursesEnquire,"22,303",31.9,30%,64:36:00
225,Université Libre de BruxellesBelgiumCoursesVerify Documents,"24,157",42.1,31%,56:44:00
226,University of LuxembourgLuxembourgCourses,"4,858",19,51%,52:48:00
227,University of MassachusettsUnited StatesCoursesEnquire,"61,958",13.3,15%,48:52:00
228,Medical University of GrazAustriaCourses,"3,541",12.1,25%,52:48:00
229,Medical University of InnsbruckAustriaCourses,"3,080",11,44%,52:48:00
230,Medical University of ViennaAustriaCourses,"7,466",8.8,30%,52:48:00
231,University of MiamiUnited StatesCoursesEnquireAdmissions Support,"16,179",6.3,16%,52:48:00
232,Moscow Institute of Physics and Technology (MIPT)Russian FederationCourses,"5,736",11.4,18%,25 : 75
233,University of OtagoNew ZealandCourses,"18,571",20.4,21%,59:41:00
234,RCSI University of Medicine and Health SciencesIrelandCoursesExplore,"2,355",23.1,65%,n/a
235,University of ReadingUnited KingdomCoursesEnquire,"15,207",15.8,31%,57:43:00
236,"St George’s, University of LondonUnited KingdomCoursesEnquire","3,425",12,21%,62:38:00
237,University of São PauloBrazilCourses,"82,961",16.1,4%,47:53:00
238,Sapienza University of RomeItalyCourses,"77,496",22.9,7%,57:43:00
239,University of South Florida (Tampa)United StatesCoursesEnquire,"34,839",19.2,15%,n/a
240,University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support,"9,614",12.8,47%,58:42:00
241,Télécom ParisFranceCourses,897,5.4,43%,0.847916667
242,Tilburg UniversityNetherlandsCoursesExplore,"9,380",24,16%,47:53:00
243,Tohoku UniversityJapanCourses,"17,752",11.7,12%,27 : 73
244,University of TwenteNetherlandsCoursesVerify Documents,"8,207",14.4,35%,37 : 63
245,University of UtahUnited StatesCoursesEnquire,"30,692",14.8,8%,48:52:00
246,Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore,"34,155",18.4,14%,43:57:00
247,University of WaterlooCanadaCoursesExplore,"32,804",22.8,21%,47:53:00
248,Western UniversityCanadaCoursesEnquire,"29,865",22.8,18%,56:44:00
249,University of the WitwatersrandSouth AfricaCoursesExplore,"27,839",25.8,7%,55:45:00
250,University of WollongongAustraliaCoursesExplore,"18,517",30.5,29%,52:48:00
251,Alfaisal UniversitySaudi ArabiaCoursesExplore,"2,640",10.2,34%,60:40:00
252,Auckland University of TechnologyNew ZealandCoursesExplore,"17,909",17.1,49%,59:41:00
253,Australian Catholic UniversityAustraliaCoursesEnquire,"24,087",46.3,13%,73:27:00
254,Brighton and Sussex Medical SchoolUnited KingdomCoursesEnquire,900,9.3,14%,59:41:00
255,University at BuffaloUnited StatesCoursesEnquire,"26,341",17.5,16%,44:56:00
256,"University of California, RiversideUnited StatesCoursesEnquire","22,498",17.7,14%,53:47:00
257,University of Cincinnati – UptownUnited StatesCoursesEnquire,"29,309",20.5,9%,51:49:00
258,Dalhousie UniversityCanadaCoursesEnquire,"15,651",13.3,26%,54:46:00
259,Deakin UniversityAustraliaCoursesEnquire,"41,341",33.9,26%,57:43:00
260,École des Ponts ParisTechFranceCoursesVerify Documents,"2,059",11.5,43%,31 : 69
261,École Normale Supérieure de LyonFranceCourses,"2,362",9,13%,48:52:00
262,Flinders UniversityAustraliaCoursesExplore,"17,167",25.4,40%,64:36:00
263,Florida State UniversityUnited StatesCoursesEnquire,"38,368",25.8,7%,57:43:00
264,Friedrich Schiller University JenaGermanyCourses,"17,063",20.1,14%,n/a
265,George Mason UniversityUnited StatesCoursesEnquire,"30,500",18.1,11%,53:47:00
266,Goethe University FrankfurtGermanyCourses,"46,481",19.2,16%,57:43:00
267,HSE UniversityRussian FederationCourses,"25,268",14.8,11%,n/a
268,University of Illinois at ChicagoUnited StatesCoursesEnquire,"27,031",11.5,20%,52:48:00
269,Jacobs UniversityGermanyCoursesExplore,"1,353",18.8,76%,43:57:00
270,University of KielGermanyCoursesVerify Documents,"27,181",22.3,8%,53:47:00
271,University of KonstanzGermanyCourses,"11,553",51.1,13%,55:45:00
272,Kyung Hee UniversitySouth KoreaCoursesExplore,"20,862",17.5,23%,54:46:00
273,Université LavalCanadaCoursesExplore,"28,874",17.2,13%,58:42:00
274,Macau University of Science and TechnologyMacaoCoursesExplore,"10,596",24.9,84%,56:44:00
275,University of NavarraSpainCoursesVerify Documents,"11,329",14.9,24%,54:46:00
276,University of NewcastleAustraliaCoursesEnquire,"23,221",21.7,18%,55:45:00
277,University of New Mexico (Main campus)United StatesCoursesEnquire,"18,277",16.3,5%,56:44:00
278,Nova Southeastern UniversityUnited StatesCoursesEnquire,"17,101",21.2,6%,70:30:00
279,Oregon Health and Science UniversityUnited StatesCoursesEnquire,"2,999",1,3%,66:34:00
280,University of PaduaItalyCourses,"46,900",21.7,7%,55:45:00
281,University of PotsdamGermanyCoursesExplore,"20,668",55,12%,57:43:00
282,Queen’s UniversityCanadaCoursesEnquireExplore,"24,354",26.1,14%,58:42:00
283,Ruhr University BochumGermanyCourses,"42,954",59.5,15%,49:51:00
284,Simon Fraser UniversityCanadaCoursesExplore,"26,778",27.5,30%,55:45:00
285,University of Southern DenmarkDenmarkCourses,"22,544",12.7,14%,53:47:00
286,Southern University of Science and Technology (SUSTech)ChinaCoursesExplore,"3,656",9,1%,n/a
287,SUNY University at AlbanyUnited StatesCoursesEnquire,"16,078",16.6,9%,53:47:00
288,Stellenbosch UniversitySouth AfricaCoursesExplore,"24,525",25.9,8%,56:44:00
289,Sun Yat-sen UniversityChinaCoursesExplore,"53,734",16.1,8%,50:50:00
290,University of SurreyUnited KingdomCoursesExplore,"14,315",16.3,38%,54:46:00
291,Swansea UniversityUnited KingdomCoursesEnquire,"17,353",16.5,22%,45:55:00
292,University of TartuEstoniaCourses,"8,735",11.9,10%,68:32:00
293,Università della Svizzera italianaSwitzerlandCourses,"2,713",10.3,67%,49:51:00
294,University College DublinIrelandCourses,"23,148",23.2,30%,n/a
295,Vita-Salute San Raffaele UniversityItalyCourses,"2,880",9.8,4%,60:40:00
296,Vrije Universiteit BrusselBelgiumCoursesVerify Documents,"12,041",29.8,23%,55:45:00
297,Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support,"7,804",4.1,10%,54:46:00
298,Western Sydney UniversityAustraliaCoursesExplore,"34,750",37.8,20%,56:44:00
299,William & MaryUnited StatesCoursesEnquireAdmissions Support,"8,278",11.1,9%,56:44:00
300,American University of BeirutLebanonCourses,"8,603",8.4,22%,51:49:00
301,Anglia Ruskin University ARUUnited KingdomCoursesEnquire,"18,932",24,33%,64:36:00
302,Autonomous University of MadridSpainCourses,"29,825",13.5,14%,61:39:00
303,Beijing Normal UniversityChinaCourses,"23,365",14.9,11%,n/a
304,Boston CollegeUnited StatesCoursesEnquireAdmissions Support,"12,921",15.5,11%,54:46:00
305,"University of California, MercedUnited StatesCoursesEnquire","7,849",21.2,9%,51:49:00
306,University of Colorado Denver/Anschutz Medical CampusUnited StatesCoursesEnquire,"17,112",4,8%,56:44:00
307,Cyprus University of TechnologyCyprusCourses,"3,176",17.4,11%,55:45:00
308,University of DelawareUnited StatesCoursesEnquire,"21,564",17.1,10%,57:43:00
309,University of EssexUnited KingdomCoursesEnquire,"12,435",15.6,38%,53:47:00
310,University of GreifswaldGermanyCourses,"10,179",21,7%,56:44:00
311,Huazhong University of Science and TechnologyChinaCoursesExplore,"56,941",16.3,6%,36 : 64
312,Illinois Institute of TechnologyUnited StatesCoursesEnquire,"6,092",14.5,49%,36 : 64
313,Indian Institute of ScienceIndiaCourses,"4,038",9.3,1%,27 : 73
314,Johannes Gutenberg University of MainzGermanyCourses,"31,773",25.7,11%,59:41:00
315,University of KentUnited KingdomCoursesExplore,"17,843",19.3,30%,53:47:00
316,University of KlagenfurtAustriaCourses,"3,361",10.1,23%,69:31:00
317,Kurdistan University of Medical SciencesIranCourses,"2,927",11,1%,51:49:00
318,University of MacauMacaoCoursesExplore,"9,343",14,36%,56:44:00
319,University of MalayaMalaysiaCourses,"15,794",8.3,20%,65:35:00
320,University of MarburgGermanyCourses,"24,527",32.6,12%,55:45:00
321,Montpellier UniversityFranceCourses,"39,703",19.7,15%,53:47:00
322,"National University of Ireland, GalwayIrelandCourses","14,453",26.6,18%,58:42:00
