Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,96,91.8,99.5,99.1,67,96.3
2,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,94.8,92.1,98.8,97.1,52.9,94.3
3,Stanford UniversityUnited StatesCoursesExplore,94.7,93.6,96.8,99.9,64.6,79.3
4,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,94.2,91.9,92.7,99.9,87.6,89
5,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,94.1,94.5,97.2,99.2,88.2,62.3
6,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,93.6,90.1,98.4,99.6,48.7,79.7
7,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,92.3,89.9,93.6,99.4,57.3,80.1
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,91.3,91.6,93.5,97.8,51.5,68.3
9,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,90.3,85.8,87.7,97.8,67.3,97.1
10,The University of ChicagoUnited StatesCoursesExplore,90.2,90.2,90.1,99,41.4,70.9
11,ETH ZurichSwitzerlandCourses,89.3,83.3,91.4,93.8,56.1,98.2
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,89,81.9,90.5,98.5,95.5,71.9
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,89,87.4,89.2,98.4,70.3,63.6
14,UCLUnited KingdomCoursesEnquireAdmissions Support,87.8,79.1,90.1,95.9,42.4,95.8
15,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support",87.7,78.7,92.3,99.7,49.3,69.8
16,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,87.2,85.4,83.1,98.8,44.8,79
17,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support",86.4,82.6,87.9,97.8,49.4,62.1
18,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,85.4,84.1,78.8,98.2,100,61
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,85.1,79.7,85.4,97.4,36.9,71.8
20,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,84.1,80,85.9,96,45.9,58
21,University of TorontoCanadaCoursesEnquireExplore,84,75.8,86.3,92.8,50.3,82.8
22,Tsinghua UniversityChinaCoursesExplore,82.9,87.7,94.1,74.8,99.8,45.8
23,National University of SingaporeSingaporeCoursesExplore,82.4,77.3,88.8,78.9,67.6,95.5
24,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,82,69,81.2,99.3,48.1,79.4
25,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,81.7,69,83.6,97.8,75.8,63
26,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,81.3,71,83.1,91,34.8,92.5
27,New York UniversityUnited StatesCoursesEnquireAdmissions Support,81,77.7,76.1,96.6,38.9,65
28,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,80.4,70.7,79.7,98.9,47.6,59.3
29,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,79.8,69.2,73.7,96.8,38.2,93.3
30,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support",79.7,65.4,79.2,98.2,96,59.9
31,Peking UniversityChinaCoursesExplore,79.3,88.8,80.4,76.7,48.3,57.5
32,LMU MunichGermanyCoursesExplore,78.3,69.9,76.1,90.2,100,65.6
33,University of MelbourneAustraliaCoursesEnquire,78.3,68,73.4,90.3,74,93.1
34,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,77.5,62.5,76.1,95.1,62.2,77.1
35,École Polytechnique Fédérale de LausanneSwitzerlandCourses,76.9,66.5,66.5,92.8,69.1,98.7
36,University of Hong KongHong KongCoursesExplore,76.3,72.6,78.4,73.7,56.5,99.7
37,University of British ColumbiaCanadaCoursesEnquire,76,60.8,72.6,92.8,42.9,93.9
38,King’s College LondonUnited KingdomCoursesAdmissions Support,75.8,61.1,68.7,95.2,45.9,95.3
39,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,75.4,68.8,74.2,94.8,48.7,38
40,Karolinska InstituteSwedenCoursesVerify Documents,74.9,56.1,72.1,96.2,68.6,77.5
41,The Hong Kong University of Science and TechnologyHong KongCoursesExplore,74.5,56.8,67.6,93.9,65.8,98
42,Paris Sciences et Lettres – PSL Research University ParisFranceCourses,74.4,74.3,67.8,82.2,49.8,78.3
43,The University of TokyoJapanCourses,74.1,84,87.2,61.3,67.2,35.9
44,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,73.9,70.3,71,89.9,46.8,45.6
45,McGill UniversityCanadaCoursesEnquire,73.7,64.1,69.4,86.3,42.3,89.4
46,Technical University of MunichGermanyCoursesVerify Documents,73.7,62.9,68.6,88.3,100,70.5
47,Heidelberg UniversityGermanyCourses,73.2,68.1,59,95.9,55.6,65.7
48,KU LeuvenBelgiumCoursesExplore,72.6,56.9,70.4,88.9,99.9,70.1
49,Australian National UniversityAustraliaCoursesEnquire,72.4,55.5,70.6,87.3,49.1,95
50,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,72.3,63.2,73.5,86.7,49.4,53.5
51,"Nanyang Technological University, SingaporeSingaporeCoursesExplore",72.2,55.4,65.8,88.6,83.1,95.4
52,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support",71.5,50.9,65,98.8,83.4,67
53,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,71.4,67.3,57.3,95.4,36.2,60.4
54,Chinese University of Hong KongHong KongCoursesExplore,71.4,59.3,64.9,84.5,54.1,98.6
55,Washington University in St LouisUnited StatesCoursesExplore,70.9,63.1,56.6,99.1,39.5,56.5
56,University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support,70,62.2,61.4,96.8,42.4,36.8
57,University of ManchesterUnited KingdomCoursesEnquireExplore,69.9,57.7,62,87.2,45,90.1
58,Delft University of TechnologyNetherlandsCoursesVerify Documents,69.2,58.1,71.4,70,99.6,91.6
59,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support",68.5,59.3,63.6,85.6,52.7,61.2
60,University of SydneyAustraliaCourses,68.5,50.2,61.4,89.1,68.1,87.8
61,Wageningen University & ResearchNetherlandsCourses,68.5,49.2,53.6,96.8,100,81.7
62,University of AmsterdamNetherlandsCoursesExplore,67.9,50.1,61.9,92.3,42.9,74
63,Seoul National UniversitySouth KoreaCourses,67.5,74.6,71.1,64.2,77.2,35.1
64,Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support,67.4,61.6,68.6,71.1,64.6,71.8
65,Kyoto UniversityJapanCourses,67.3,75.9,77.5,55,95.6,31.1
66,University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support,67,53.2,56.6,93.8,39.2,66.3
67,Humboldt University of BerlinGermanyCourses,66.9,64.1,65.8,72.6,41.8,67.2
68,Leiden UniversityNetherlandsCoursesExplore,66.3,46.5,62.4,87.3,74.6,74.1
69,The University of QueenslandAustraliaCoursesExplore,66,47.3,57.4,86.5,70.3,91.7
70,Erasmus University RotterdamNetherlandsCoursesExplore,65.8,40.6,55.7,97.2,56.8,84.5
71,University of MinnesotaUnited StatesCoursesEnquire,65.3,56.8,58.7,85.6,79.4,39.4
72,Ohio State University (Main campus)United StatesCoursesEnquire,65.3,56.7,54.9,87.1,52.9,58.3
73,Sorbonne UniversityFranceCourses,65.1,63.2,53.1,80.6,39,67.3
74,Boston UniversityUnited StatesCoursesEnquireAdmissions Support,65,56.3,44.8,96.8,36.5,62.3
75,Utrecht UniversityNetherlandsCoursesExplore,65,43.8,61.2,90.7,62.9,63.1
76,University of FreiburgGermanyCourses,64.7,50.5,53.1,85.8,100,71.6
77,McMaster UniversityCanadaCoursesExplore,64.4,44,48.2,94.3,93.5,80.5
78,University of BristolUnited KingdomCoursesAdmissions Support,64.3,44.8,48.6,96.1,40.5,86.3
79,University of GroningenNetherlandsCoursesExplore,64.1,42.5,54.4,90.7,79.7,77.5
80,University of WarwickUnited KingdomCoursesEnquireAdmissions Support,64.1,48,51.8,87,41.5,93.3
81,Penn State (Main campus)United StatesCoursesEnquire,63.8,53.2,62.5,81.1,50.8,46.4
82,"University of Maryland, College ParkUnited StatesCoursesEnquire",63.7,47.8,57.7,93.2,38.7,41.2
83,Sungkyunkwan University (SKKU)South KoreaCoursesExplore,63.7,58.4,59.1,74.8,96.9,48.8
84,Emory UniversityUnited StatesCoursesEnquireAdmissions Support,63.6,56,39.7,98.4,43.6,56.4
85,Monash UniversityAustraliaCoursesEnquire,63.6,46.1,53.7,83.8,74.1,88.7
86,Rice UniversityUnited StatesCoursesEnquireAdmissions Support,63.5,50.9,40.4,97.9,44.6,75.1
87,RWTH Aachen UniversityGermanyCourses,63.3,56.7,60.7,71.3,98.8,56.2
88,Uppsala UniversitySwedenCoursesVerify Documents,63.3,44.3,55.7,87.7,77.3,67.4
89,University of TübingenGermanyCoursesVerify Documents,63.2,50,54.4,84.9,67,62.6
90,Charité - Universitätsmedizin BerlinGermanyCourses,63,47.6,46.1,93.2,87.8,63.1
91,University of MontrealCanadaCoursesExplore,63,47.8,50.2,84.6,74.3,85
92,University of ZurichSwitzerlandCourses,63,46.5,46.4,89.6,53.4,91.4
93,University of Science and Technology of ChinaChinaCoursesExplore,62.9,62.3,54.7,77.1,89.2,32.2
94,University of GlasgowUnited KingdomCoursesExplore,62.8,41.2,48.3,93.6,40.1,92.3
95,Michigan State UniversityUnited StatesCoursesEnquire,62.8,56.5,54.2,79.8,37.9,62.9
96,"University of California, IrvineUnited StatesCoursesEnquireAdmissions Support",62.7,44.5,47.6,94.6,60.8,69.3
97,UNSW SydneyAustraliaCoursesExplore,62.7,45,54.1,82.3,52.4,92.6
98,Lund UniversitySwedenCoursesVerify Documents,62.5,41.9,53.2,87.4,78,77.3
99,Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support,62.4,59.6,38.9,95.9,41.3,40.1
100,University of HelsinkiFinlandCourses,62.4,46.2,57.6,87.5,37.4,54.4
101,Zhejiang UniversityChinaCoursesExplore,62.2,69.4,68.4,47.9,100,53.3
102,Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses,61.8,61.7,59.3,67.8,99.9,35.7
103,University of BaselSwitzerlandCourses,61.5,43.1,39.4,90.1,99.4,96.1
104,Free University of BerlinGermanyCoursesVerify Documents,61.4,61.3,64.3,57.2,42.4,74
105,Fudan UniversityChinaCourses,61.4,63.7,57.2,68.9,50.2,42.2
106,University of SheffieldUnited KingdomCoursesEnquire,61.2,46,46,86.5,43.1,87.2
107,University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support,61,53.8,41.1,92.7,44.1,47.7
108,École PolytechniqueFranceCoursesExplore,60.8,58.6,46.6,68.2,70.6,94
109,Georgetown UniversityUnited StatesCoursesEnquireAdmissions Support,60.7,56,36,93.2,64.6,46.9
110,University of BernSwitzerlandCourses,60.3,45.1,41.7,85.5,83.1,86.5
